id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,fdv_warning,drawdown_pct,price_resilience,is_gold,suspected_wash_trading,momentum,rs_24h,rs_7d,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,timeframe_analysis,timeframe_classification,social_analysis,seller_exhaustion,volatility_14d,ratio_surge,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong
gigachad-2,giga,Gigachad,https://coin-images.coingecko.com/coins/images/34755/large/IMG_0015.png?1705957165,0.00229515,22043055,784,22043055,5922038,0.00238903,0.00225608,-8.6846715149484e-05,-3.64596,-778659.2601099238,-3.41192,9604136902.35,9604136902.35,10000000000.0,0.095127,-97.58922,2025-01-03T16:26:00.996Z,1.244e-05,18331.67183,2024-02-06T19:23:17.592Z,,2026-07-11T11:38:47.572Z,-13.088089903410033,-10.63745247866338,early_accumulation,,0.9759,False,False,False,low,-3.3839,,False,False,0.26865776998696417,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Meme,0.258,weak,0.0008,False,Sinal fraco: slope=0.0008,10_49m_range,0.0,0,0.0,21,0,0,0,20260503,0,0,False,False,NOT_APPLICABLE,False
popcat,popcat,Popcat,https://coin-images.coingecko.com/coins/images/33760/large/image.jpg?1702964227,0.04594824,45023044,475,45023044,11784382,0.04673338,0.04524439,-0.000565905356868485,-1.21663,-559831.2340471223,-1.22816,979978669.96,979978669.96,979978694.0,2.05,-97.76737,2024-11-17T15:50:59.669Z,0.00379728,1108.08972,2024-01-05T15:34:24.842Z,,2026-07-11T11:37:36.608Z,12.7427073985306,-8.87193602208249,early_accumulation,,0.9776,False,False,False,low,-0.9545700000000001,,False,False,0.2617411208358102,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Meme,0.0,none,-0.0029,False,Ratio em queda — sem acumulação,10_49m_range,0.0,0,0.0,22,0,0,0,20260509,0,0,False,False,NOT_APPLICABLE,False
pippin,pippin,pippin,https://coin-images.coingecko.com/coins/images/51589/large/pippin_logo.png?1731570163,0.01722882,17231902,889,17231902,4503414,0.01729659,0.01650819,9.397e-05,0.54841,99429.0,0.58035,999934850.013527,999934850.013527,1000000000.0,0.897199,-98.08499,2026-02-26T15:35:05.499Z,0.0055459,209.80425,2024-12-30T00:02:49.802Z,,2026-07-11T11:38:44.554Z,-16.554517964418515,-20.53875436193152,early_accumulation,,0.9808,False,False,False,low,0.81047,,False,True,0.2613416673330663,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0011,False,Ratio em queda — sem acumulação,10_49m_range,0.0,0,0.0,23,0,0,0,20260511,0,0,False,False,NOT_APPLICABLE,False
magic,magic,Treasure,https://coin-images.coingecko.com/coins/images/18623/large/magic.png?1696518095,0.04376511,14725147,963,15216561,3698942,0.04427584,0.0426697,0.00058275,1.3495,197570.0,1.35996,336458592.9651094,347687042.9717532,347714007.0,6.32,-99.30851,2022-02-19T16:24:53.615Z,0.01999252,118.71733,2021-10-07T01:57:51.729Z,,2026-07-11T11:38:34.530Z,-4.007203002956571,0.6438811882067883,early_accumulation,,0.9931,False,False,False,low,1.6115599999999999,,False,True,0.2511989863327001,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Gaming,0.52,moderate,0.0173,False,Possível acumulação: slope=0.0173,10_49m_range,0.0,0,0.0,24,0,0,0,20260511,0,0,False,False,NOT_APPLICABLE,False
usual,usual,Usual,https://coin-images.coingecko.com/coins/images/51091/large/USUAL.jpg?1730035787,0.00898092,16068917,929,16692988,3831256,0.00915086,0.00857564,0.00039491,4.59946,700038.0,4.5549,1790016387.4638243,1859535523.308402,3000000000.0,1.61,-99.44381,2024-12-20T06:22:16.452Z,0.00846922,5.75128,2026-07-09T10:55:30.910Z,,2026-07-11T11:38:44.033Z,-9.21027294539374,-4.472983407097625,early_accumulation,,0.9944,False,False,False,low,4.86152,,True,True,0.23842652245947876,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.019,False,Ratio em queda — sem acumulação,10_49m_range,0.0,0,0.0,25,0,0,0,20260511,0,0,False,False,NOT_APPLICABLE,True
auction,auction,Bounce,https://coin-images.coingecko.com/coins/images/13860/large/1_KtgpRIJzuwfHe0Rl0avP_g.jpeg?1696513606,3.32,24646806,731,25379615,5575338,3.35,3.32,-0.000694582323435,-0.02091,-24321.205663092434,-0.09858,7420409.148028981,7641035.648362741,10000000.0,70.44,-95.28253,2021-04-12T04:15:39.424Z,3.07,8.08393,2026-06-25T14:05:42.802Z,,2026-07-11T11:37:41.916Z,-10.334649189562748,-0.061734935003310384,early_accumulation,,0.9529,False,False,False,low,0.24115,,False,False,0.22620935142671225,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.284,weak,0.0036,False,Sinal fraco: slope=0.0036,10_49m_range,0.0,0,0.0,26,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False
chaingpt,cgpt,ChainGPT,https://coin-images.coingecko.com/coins/images/29306/large/200x200.png?1696528257,0.01952843,18218286,854,19484190,3908077,0.01951661,0.01891584,0.00031054,1.61586,278930.0,1.55485,932940721.0,997766421.0,1000000000.0,0.555799,-96.50202,2024-03-12T12:05:22.099Z,0.01720755,12.9838,2026-06-24T17:51:51.972Z,,2026-07-11T11:38:49.762Z,-8.541982747281253,-1.2733497091681332,early_accumulation,,0.9649,False,False,False,low,1.87792,,False,True,0.21451397787914844,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.247,weak,0.0011,False,Sinal fraco: slope=0.0011,10_49m_range,0.0,0,0.0,27,0,0,0,20260511,0,0,False,False,NOT_APPLICABLE,False
moo-deng,moodeng,Moo Deng,https://coin-images.coingecko.com/coins/images/50264/large/MOODENG.jpg?1726726975,0.04009599,39653963,522,39653963,8479042,0.04037963,0.039601,-0.000238958723470281,-0.59244,-275203.6221056357,-0.68923,989937527.351194,989937527.351194,1000000000.0,0.680378,-94.12281,2024-11-15T14:06:28.269Z,0.01544782,158.85292,2024-09-20T13:55:20.098Z,,2026-07-11T11:37:40.061Z,3.8419727769422893,-6.8761720456726465,early_accumulation,,0.9411,False,False,False,low,-0.33037999999999995,,False,False,0.21382584131628912,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0016,False,Ratio em queda — sem acumulação,10_49m_range,0.0,0,0.0,28,0,0,0,20260509,0,0,False,False,NOT_APPLICABLE,False
dogs-2,dogs,Dogs,https://coin-images.coingecko.com/coins/images/39699/large/dogs_logo_200x200.png?1723687163,3.956e-05,20405076,812,21718029,4334848,3.956e-05,3.867e-05,1.8641e-07,0.47345,81755.0,0.40227,516750000000.0,550000000000.0,550000000000.0,0.00163299,-97.58737,2024-08-28T10:10:46.492Z,2.375e-05,65.88363,2026-02-28T12:15:13.471Z,,2026-07-11T11:38:40.733Z,-9.209892492129432,-20.779878974963527,early_accumulation,,0.9758,False,False,False,low,0.73551,,False,True,0.21243968902639715,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Meme,0.087,none,0.0055,False,"Spike detectado — possível pump, não acumulação gradual",10_49m_range,0.0,0,0.0,29,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
mog-coin,mog,Mog Coin,https://coin-images.coingecko.com/coins/images/31059/large/MOG_LOGO_200x200.png?1696529893,1.05375e-07,41155492,512,41155492,8665480,1.06232e-07,1.03615e-07,-4.508968e-11,-0.04277,-45371.28601434827,-0.11012,390561997990255.06,390561997990255.06,420690000000000.0,4.02e-06,-97.38394,2024-12-07T03:55:46.658Z,4.526e-09,2221.37636,2023-07-24T17:10:57.805Z,,2026-07-11T11:37:43.521Z,-2.5393977358528934,-9.289905666333329,early_accumulation,,0.9738,False,False,False,low,0.21929,,False,False,0.21055464480900873,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Meme,0.217,weak,0.0007,False,Sinal fraco: slope=0.0007,10_49m_range,0.0,0,0.0,30,0,0,0,20260603,0,0,False,False,NOT_APPLICABLE,False
