id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,drawdown_pct,price_resilience,is_gold,suspected_wash_trading,momentum,rs_24h,rs_7d,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,timeframe_analysis,timeframe_classification,social_analysis,seller_exhaustion,volatility_14d,ratio_surge,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong,fdv_warning
alien-worlds,tlm,Alien Worlds,https://coin-images.coingecko.com/coins/images/14676/large/kY-C4o7RThfWrDQsLCAG4q4clZhBDDfJQVhWUEKxXAzyQYMj4Jmq1zmFwpRqxhAJFPOa0AsW_PTSshoPuMnXNwq3rU7Imp15QimXTjlXMx0nC088mt1rIwRs75GnLLugWjSllxgzvQ9YrP4tBgclK4_rb17hjnusGj_c0u2fx0AvVokjSNB-v2poTj0xT9BZRCbzRE3-lF1.jpg?1696514350,0.00311786,21739816,780,21938136,138271901,0.00369691,0.0025632,0.00048175,18.27492,3800360.0,21.18436,6969768842.408301,7033350020.9839,10000000000.0,0.739714,-99.57261,2021-05-03T00:00:00.000Z,0.00081743,286.75591,2026-07-01T01:16:45.717Z,,2026-07-06T12:20:12.181Z,189.30304833203252,248.80030723501346,breakout,0.9958,False,False,False,low,19.2127,,True,True,6.360306867362631,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),10_49m_range,1.5,0,0.9,1,0,0,0,20260704,0,0,False,False,NOT_APPLICABLE,True,
vanar-chain,vanry,Vanar Chain,https://coin-images.coingecko.com/coins/images/33466/large/apple-touch-icon.png?1701942541,0.00733448,15786195,934,15867659,92395806,0.00728497,0.00504409,0.00148843,25.46042,2894844.0,22.4557,2150220599.0,2161316616.0,2400000000.0,0.372326,-98.06291,2024-03-13T13:00:51.153Z,0.00288034,150.39786,2026-07-03T06:15:01.638Z,,2026-07-06T12:20:04.451Z,109.55466641148452,144.87027461128054,breakout,0.9803,False,False,False,low,26.3982,,True,True,5.852949745014552,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),10_49m_range,1.5,0,0.9,2,0,0,0,20260706,0,0,False,False,NOT_APPLICABLE,True,
hamster-kombat,hmstr,Hamster Kombat,https://coin-images.coingecko.com/coins/images/39102/large/hamster-removebg-preview.png?1720514486,0.00029858,19222662,839,29860446,54417313,0.00035687,0.00026691,-3.7449092505203e-05,-11.14444,-2401600.5090834163,-11.10605,64375000000.0,100000000000.0,100000000000.0,0.00722201,-95.77208,2024-09-27T02:01:16.891Z,0.00012639,141.58724,2026-06-04T11:20:31.983Z,,2026-07-06T12:20:00.250Z,70.11762983538286,65.68552102063018,breakout,0.9587,False,False,False,low,-10.20666,,False,False,2.8308937128478875,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.1208,False,Ratio em queda — sem acumulação,10_49m_range,1.5,0,0.9,3,0,0,0,20260611,0,0,False,False,NOT_APPLICABLE,False,True
book-of-meme,bome,BOOK OF MEME,https://coin-images.coingecko.com/coins/images/36071/large/bome.png?1710407255,0.00043456,29984633,639,29984633,39545345,0.00046805,0.00043101,3.55e-06,0.82379,207391.0,0.69648,68999659569.0,68999659569.0,68999659569.0,0.02688878,-98.35841,2024-03-16T13:51:17.648Z,5.848e-05,654.76099,2024-03-14T10:17:29.365Z,,2026-07-06T12:19:07.562Z,7.4040056478077805,5.2003173919639085,breakout,0.9838,False,False,False,low,1.7615699999999999,,False,True,1.318853727507687,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Meme,0.264,weak,0.0117,False,Sinal fraco: slope=0.0117,10_49m_range,1.5,0,0.9,4,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False,
tellor,trb,Tellor Tributes,https://coin-images.coingecko.com/coins/images/9644/large/TRB-New_Logo.png?1737722143,17.51,48959728,447,50322451,57579073,18.83,15.69,1.79,11.35903,5069911.0,11.55145,2796596.0239800373,2874435.232433518,,593.09,-97.02193,2023-12-31T22:15:07.200Z,0.01001379,176282.01285,2019-11-01T10:00:10.047Z,,2026-07-06T12:19:13.150Z,35.79418580946408,28.468574074171553,breakout,0.9705,False,False,False,low,12.29681,,True,True,1.1760496912891345,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,True,Other,0.502,moderate,0.0037,False,Possível acumulação: slope=0.0037,10_49m_range,1.5,0,0.9,5,0,0,0,20260509,0,0,False,False,NOT_APPLICABLE,True,
giggle-fund,giggle,Giggle Fund,https://coin-images.coingecko.com/coins/images/69414/large/giggle-fund.jpg?1758541887,27.31,27312179,682,27312179,28141581,31.74,26.62,0.688843,2.58728,694813.0,2.61037,1000000.0,1000000.0,1000000.0,274.54,-89.93679,2025-10-25T04:05:48.420Z,8.64,219.68216,2025-09-25T16:01:24.440Z,,2026-07-06T12:19:14.740Z,4.7858947088234025,10.640583279240884,breakout,0.9005,False,False,False,low,3.52506,,True,True,1.0303674781861967,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,True,Other,0.0,none,-0.0017,False,Ratio em queda — sem acumulação,10_49m_range,1.5,0,0.9,6,0,0,0,20260504,0,0,False,False,NOT_APPLICABLE,True,
synapse-2,syn,Synapse,https://coin-images.coingecko.com/coins/images/18024/large/synapse_social_icon.png?1696517540,0.379057,83038803,294,94764366,73906969,0.465585,0.367722,-0.03508356784373645,-8.47141,-7724521.629318595,-8.51062,219066529.0,250000000.0,250000000.0,4.92,-92.47003,2021-10-24T00:24:41.805Z,0.02738298,1251.67693,2026-06-11T02:30:31.818Z,,2026-07-06T12:19:06.397Z,824.0226322618869,-5.863014061268802,strong,0.923,False,False,False,low,-7.5336300000000005,,False,False,0.890029315571902,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0890153832824451,False,Other,0.0,none,-0.1293,False,Ratio em queda — sem acumulação,50m_range,1.0,0,0.6,1,0,0,0,20260619,0,0,False,False,NOT_APPLICABLE,False,
secret,scrt,Secret,https://coin-images.coingecko.com/coins/images/11871/large/scrt_200.png?1733344413,0.056959,19942697,828,20501987,13196937,0.058478,0.05079,0.00606615,11.91941,2205648.0,12.43526,350127628.283741,359946906.48987,,10.38,-99.44732,2021-10-28T12:44:49.785Z,0.04336813,32.34372,2026-07-03T06:16:04.643Z,,2026-07-06T12:20:10.725Z,-3.7618987694771877,14.0949599287613,strong,0.9945,False,False,False,low,12.85719,,True,True,0.6617428425052038,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Privacy,0.482,moderate,0.0062,False,Possível acumulação: slope=0.0062,10_49m_range,0.5,0,0.3,7,0,0,0,20260604,0,0,False,False,NOT_APPLICABLE,True,
stargate-finance,stg,Stargate Finance,https://coin-images.coingecko.com/coins/images/24413/large/STG_LOGO.png?1696523595,0.154841,21818170,778,21818170,13833927,0.157802,0.151939,0.00290236,1.91021,413547.0,1.93204,140906480.6680311,140906480.6680311,1000000000.0,4.14,-96.22142,2022-04-02T00:00:00.000Z,0.104476,49.78504,2025-12-31T19:01:22.813Z,,2026-07-06T12:20:13.723Z,-23.32998904897522,-8.888104814140398,strong,0.9626,False,False,False,low,2.84799,,True,True,0.6340553309466376,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0392,False,Ratio em queda — sem acumulação,10_49m_range,0.5,0,0.3,8,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,True,
kintara,kins,Kintara,https://coin-images.coingecko.com/coins/images/102173474/large/fqh1kyqexcnpjt8420afe6bjhb00.?1779705768,0.01537051,15269052,954,15269052,9556125,0.01768064,0.01423514,5.285e-05,0.34505,61938.0,0.4073,993398593.001986,993398593.001986,1000000000.0,0.02161395,-27.81406,2026-07-04T04:31:09.194Z,0.00026633,5758.13689,2026-05-25T19:49:31.422Z,,2026-07-06T12:20:09.971Z,640.0064684977518,15.958057666222514,strong,0.2889,False,False,False,low,1.28283,,False,True,0.6258492668700061,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0152,False,Ratio em queda — sem acumulação,10_49m_range,0.5,0,0.3,9,0,0,0,20260619,0,0,False,False,NOT_APPLICABLE,False,
