id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,drawdown_pct,suspected_wash_trading,momentum,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,price_resilience,timeframe_analysis,timeframe_classification,social_analysis,seller_exhaustion,volatility_14d,ratio_surge,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong
peanut-the-squirrel,pnut,Peanut the Squirrel,https://coin-images.coingecko.com/coins/images/51301/large/Peanut_the_Squirrel.png?1734941241,0.051987,52126479,469,52126479,10550946,0.053734,0.050918,0.00079648,1.55593,960214.0,1.87665,999842113.956539,999842113.956539,1000000000.0,2.44,-97.85852,2024-11-14T01:20:47.489Z,0.03187374,63.71302,2024-11-04T21:41:11.808Z,,2026-05-29T12:36:25.334Z,-8.81791651027746,-13.741900847867788,early_accumulation,0.9787,False,low,False,-0.15925,,1.7151800000000001,,True,False,True,0.20241048700028252,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0084,False,Ratio em queda — sem acumulação,50m_range,0.0,0,0.0,5,0,0,0,20260509,0,0,False,False,NOT_APPLICABLE,False
bonfida,fida,Bonfida,https://coin-images.coingecko.com/coins/images/13395/large/bonfida.png?1696513157,0.02683155,26592265,739,26592265,13032462,0.02958595,0.02683619,-0.001697248986555315,-5.94925,-1666004.3681061827,-5.89563,990910768.0093,990910768.0093,1000000000.0,18.77,-99.85685,2021-11-03T20:34:33.492Z,0.01221703,119.98142,2026-03-29T22:50:36.078Z,,2026-05-29T12:36:44.970Z,56.70662664643539,-35.6091263987525,early_accumulation,0.9986,False,low,False,-0.19311,,-5.75614,,True,False,False,0.49008469192075216,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.095,none,0.0157,False,"Spike detectado — possível pump, não acumulação gradual",10_49m_range,0.0,0,0.0,18,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False
doodles,dood,Doodles,https://coin-images.coingecko.com/coins/images/54399/large/dood.png?1774374789,0.00221769,17299902,940,22179361,7657742,0.00226508,0.00219774,1.312e-05,0.59512,107812.0,0.62711,7800000000.0,10000000000.0,10000000000.0,0.01753469,-87.31188,2025-10-07T05:09:59.361Z,0.00204546,8.76868,2025-06-22T20:27:29.397Z,,2026-05-29T12:36:47.961Z,-34.52287468740957,-18.516059489089407,early_accumulation,0.8735,False,low,False,-0.19311,,0.78823,,True,False,True,0.4426465537203621,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0005,False,Ratio em queda — sem acumulação,10_49m_range,0.0,0,0.0,19,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False
drift-protocol,drift,Drift Protocol,https://coin-images.coingecko.com/coins/images/37509/large/DRIFT.png?1715842607,0.02729418,16692205,957,27296440,6925202,0.02987568,0.02726354,-0.002182743596363522,-7.40492,-1246316.982375795,-6.94771,611515824.085346,1000000000.0,1000000000.0,2.6,-98.95119,2024-11-09T01:41:24.471Z,0.02667806,2.3835,2026-04-10T03:05:31.364Z,,2026-05-29T12:36:47.024Z,-24.254190641320424,-6.797545735703178,early_accumulation,0.9895,False,low,False,-0.19311,,-7.21181,,True,False,False,0.41487640488479505,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.75,strong,0.1865,True,"Acumulação silenciosa: slope=0.1865, consistência=80%",10_49m_range,0.0,0,0.0,20,0,0,0,20260511,0,0,False,False,NOT_APPLICABLE,False
stepn,gmt,GMT,https://coin-images.coingecko.com/coins/images/23597/large/token-gmt-200x200.png?1703153841,0.00977658,30591443,679,49886351,10031856,0.01041578,0.0097958,-0.000349728361662027,-3.45366,-893842.5077812709,-2.83892,3111400155.0,5073850155.102167,6000000000.0,4.11,-99.76077,2022-04-28T03:29:53.820Z,0.00938775,4.66761,2026-03-29T22:55:08.566Z,,2026-05-29T12:36:45.749Z,-15.059089042111085,-7.8378163865083215,early_accumulation,0.9976,False,low,False,-0.19311,,-3.2605500000000003,,True,False,False,0.32793013392666703,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.329,weak,0.0535,False,Sinal fraco: slope=0.0535,10_49m_range,0.0,0,0.0,21,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False
altlayer,alt,AltLayer,https://coin-images.coingecko.com/coins/images/34608/large/Logomark_200x200.png?1715107868,0.00670264,43154240,528,67386456,14139312,0.00725139,0.00672406,-0.000333415211613435,-4.73867,-1901187.3679338098,-4.21966,6403993052.0,10000000000.0,10000000000.0,0.676743,-99.00406,2024-03-28T23:20:10.066Z,0.00600213,12.29302,2026-03-29T22:55:39.974Z,,2026-05-29T12:36:46.771Z,-15.139722672558332,-37.71342227537779,early_accumulation,0.9901,False,low,False,-0.19311,,-4.54556,,True,False,False,0.3276459508961344,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.325,weak,0.2088,False,Sinal fraco: slope=0.2088,10_49m_range,0.0,0,0.0,22,0,0,0,20260520,0,0,False,False,NOT_APPLICABLE,False
dogs-2,dogs,Dogs,https://coin-images.coingecko.com/coins/images/39699/large/dogs_logo_200x200.png?1723687163,4.689e-05,24287217,774,25849964,7282780,4.826e-05,4.562e-05,1.82162e-07,0.38998,249883.0,1.03956,516750000000.0,550000000000.0,550000000000.0,0.00163299,-97.11627,2024-08-28T10:10:46.492Z,2.375e-05,98.27483,2026-02-28T12:15:13.471Z,,2026-05-29T12:36:47.448Z,44.108392633457555,-15.120419888576652,early_accumulation,0.9713,False,low,False,-0.19311,,0.58309,,True,False,True,0.29986062215362097,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Meme,0.0,none,-0.0855,False,Ratio em queda — sem acumulação,10_49m_range,0.0,0,0.0,23,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
neiro-3,neiro,Neiro,https://coin-images.coingecko.com/coins/images/39488/large/neiro.jpg?1731449567,7.758e-05,32698055,646,32698055,9380233,8.085e-05,7.747e-05,-1.413632412629e-06,-1.78946,-293614.45417358354,-0.88997,420690000000.0,420690000000.0,420690000000.0,0.00301761,-97.41717,2024-11-12T08:05:49.038Z,2.44e-06,3096.31885,2024-08-01T07:00:23.692Z,,2026-05-29T12:36:47.321Z,-17.724514283192487,-22.65324750669254,early_accumulation,0.9743,False,low,False,-0.19311,,-1.5963500000000002,,True,False,False,0.2868743416083923,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Meme,0.0,none,-0.0246,False,Ratio em queda — sem acumulação,10_49m_range,0.0,0,0.0,24,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
propy,pro,Propy,https://coin-images.coingecko.com/coins/images/869/large/propy-pro-logo.png?1737476645,0.327387,18954819,899,32739093,5432411,0.345821,0.317801,-0.002286270623076514,-0.6935,-114189.37721589208,-0.59882,57896591.39105386,100000000.0,100000000.0,5.15,-93.61816,2018-01-05T00:00:00.000Z,0.0303544,983.37935,2020-03-13T02:24:40.087Z,"{'times': -0.6726133158369729, 'currency': 'usd', 'percentage': -67.26133158369728}",2026-05-29T12:36:49.754Z,-6.971916259161142,-3.449648322021333,early_accumulation,0.9364,False,low,False,-0.19311,,-0.50039,,True,False,False,0.2865978831029724,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0278,False,Ratio em queda — sem acumulação,10_49m_range,0.0,0,0.0,25,0,0,0,20260507,0,0,False,False,NOT_APPLICABLE,False
concierge-io,ava,AVA (Travala),https://coin-images.coingecko.com/coins/images/3014/large/AVA_Logo_160x160px_Black.png?1696503750,0.214297,15703582,984,15703582,4411283,0.217719,0.210613,0.00165616,0.77885,98979.0,0.63429,73278967.0,73278967.0,100000000.0,6.45,-96.66825,2021-04-14T07:24:28.788Z,0.01218947,1661.6768,2019-02-27T00:00:00.000Z,"{'times': -0.38772260898659455, 'currency': 'usd', 'percentage': -38.772260898659454}",2026-05-29T12:36:46.285Z,-16.58976966612498,-11.825832772917746,early_accumulation,0.9668,False,low,False,-0.19311,,0.97196,,True,False,True,0.28090934921726773,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.134,none,0.0015,False,Dados insuficientes,10_49m_range,0.0,0,0.0,26,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
