id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,suspected_wash_trading,momentum,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,price_resilience,timeframe_analysis,timeframe_classification,social_analysis,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range
hive,hive,Hive,https://coin-images.coingecko.com/coins/images/10840/large/logo_transparent_4x.png?1696510797,0.07571,41042137,551,,99223330,0.09074,0.059427,0.01571622,26.19661,8553242.0,26.32666,541704820.675,,,3.41,-97.77672,2021-11-26T01:46:11.175Z,0.055374,36.82312,2026-03-31T10:00:47.615Z,,2026-05-05T15:41:45.370Z,31.392635506560573,26.104850494014038,breakout,False,low,False,2.26063,,23.93598,,True,False,False,2.417596578852607,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),50m_range
notcoin,not,Notcoin,https://coin-images.coingecko.com/coins/images/33453/large/rFmThDiD_400x400.jpg?1701876350,0.00047771,47457894,501,48900926.0,96380840,0.00053462,0.00041743,5.959e-05,14.25148,5985569.0,14.43268,99429447866.9074,102452755868.5205,102456956842.91,0.02836145,-98.31553,2024-06-02T18:00:38.587Z,0.00032676,46.2074,2026-02-28T13:45:06.069Z,,2026-05-05T15:41:47.040Z,39.49011516744897,21.067177179317326,breakout,False,low,False,2.26063,,11.990850000000002,,True,False,False,2.0308705649686014,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.525,moderate,0.2438,False,Possível acumulação: slope=0.2438,50m_range
neiro-3,neiro,Neiro,https://coin-images.coingecko.com/coins/images/39488/large/neiro.jpg?1731449567,0.00010135,42636706,539,42636706.0,51227339,0.00011281,9.278e-05,7.52e-06,8.01285,3187432.0,8.07982,420690000000.0,420690000000.0,420690000000.0,0.00301761,-96.64144,2024-11-12T08:05:49.038Z,2.44e-06,4056.3017,2024-08-01T07:00:23.692Z,,2026-05-05T15:41:47.831Z,89.86629366037471,16.050320771575965,breakout,False,low,False,2.26063,,5.75222,,True,False,False,1.201484443943676,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.525,moderate,0.1276,False,Possível acumulação: slope=0.1276,50m_range
giggle-fund,giggle,Giggle Fund,https://coin-images.coingecko.com/coins/images/69414/large/giggle-fund.jpg?1758541887,35.62,35643795,618,35643795.0,41322310,40.03,35.52,-1.3209390303536779,-3.57537,-1578896.5071586296,-4.24176,1000000.0,1000000.0,1000000.0,274.54,-86.98443,2025-10-25T04:05:48.420Z,8.64,313.47102,2025-09-25T16:01:24.440Z,,2026-05-05T15:41:49.770Z,50.0302067130698,2.1660923446124842,breakout,False,low,False,2.26063,,-5.836,,True,False,False,1.1593128621685767,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),50m_range
book-of-meme,bome,BOOK OF MEME,https://coin-images.coingecko.com/coins/images/36071/large/bome.png?1710407255,0.00058293,40259278,569,40259278.0,29805395,0.00060225,0.00053459,4.404e-05,8.17311,3099727.0,8.34167,68999659569.0,68999659569.0,68999659569.0,0.02688878,-97.83125,2024-03-16T13:51:17.648Z,5.848e-05,897.13564,2024-03-14T10:17:29.365Z,,2026-05-05T15:41:47.451Z,58.10718829977694,14.312971702637967,strong,False,low,False,2.26063,,5.9124799999999995,,True,False,False,0.7403360537166116,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.263,weak,0.0063,False,Sinal fraco: slope=0.0063,50m_range
memecoin-2,meme,Memecoin,https://coin-images.coingecko.com/coins/images/32528/large/memecoin_%282%29.png?1698912168,0.00060259,37666124,595,41557673.0,24661204,0.00063444,0.0005688,3.173e-05,5.55895,1968287.0,5.51374,62538692416.66666,69000000000.0,69000000000.0,0.056324,-98.93022,2024-03-04T17:30:21.569Z,0.00048566,24.06502,2026-04-05T21:45:02.721Z,,2026-05-05T15:41:47.194Z,22.667068033133734,7.0064517407323805,strong,False,low,False,2.26063,,3.2983200000000004,,True,False,False,0.6547316628597092,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),50m_range
constitutiondao,people,ConstitutionDAO,https://coin-images.coingecko.com/coins/images/20612/large/GN_UVm3d_400x400.jpg?1696520017,0.00849257,43034726,535,43034726.0,17495834,0.00873751,0.00790333,0.00051839,6.50087,2625242.0,6.4966,5066444892.014003,5066444892.014003,,0.185022,-95.40815,2021-12-23T05:59:19.861Z,0.0009194,824.07375,2021-11-21T11:33:21.508Z,,2026-05-05T15:41:46.136Z,33.022910046165116,12.717308908479108,early_accumulation,False,low,False,2.26063,,4.24024,,True,False,False,0.4065515370075785,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),50m_range
edu-coin,edu,Open Campus,https://coin-images.coingecko.com/coins/images/29948/large/EDU_Logo.png?1696528874,0.04603939,34852347,634,46016238.0,10546360,0.04735328,0.04589214,-0.000520447064669027,-1.1178,-412372.48973430693,-1.16936,757392361.0,1000000000.0,,1.67,-97.25155,2023-04-29T08:05:57.583Z,0.04149096,10.91447,2026-04-19T10:25:16.201Z,,2026-05-05T15:41:47.077Z,-6.05758613994433,-2.337055630492744,early_accumulation,False,low,False,2.26063,,-3.37843,,True,False,False,0.3026011418972731,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.0376,False,Ratio em queda — sem acumulação,50m_range
paxos-standard,usdp,Pax Dollar,https://coin-images.coingecko.com/coins/images/6013/large/Pax_Dollar.png?1696506427,0.999524,40548853,562,40548853.0,11857386,0.99975,0.999219,5.973e-05,0.00598,5241.59,0.01293,40569459.93027243,40569459.93027243,,1.18,-15.62693,2024-04-16T16:20:21.365Z,0.863529,15.74505,2021-05-19T13:14:42.046Z,"{'times': -0.0004762359588527, 'currency': 'usd', 'percentage': -0.04762359588527}",2026-05-05T15:41:49.170Z,-0.0837518216514634,-0.03308709635769523,early_accumulation,False,low,False,2.26063,,-2.25465,,True,False,False,0.2924222295511047,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),50m_range
wojak-5,wojak,wojak,https://coin-images.coingecko.com/coins/images/102172016/large/usz-J1DohLTr0BHrWVa5zpZ-JocyeixXhmlZT3ytjdOM9cn0aYq6PT8CeUjnGEKAkZSuNa8BW2KkSsCQvYFQe8A-bvqs_AibzILyjP8sIBtqPZu3gTFjLLCvB6WjlzXIrRrnd_Hlg-fKWlf9byXwsQBZqvJ_lC8OHuz351DVfntD30avGrTc3msIIsZzobmywtrwuesT.jpg?1770967858,1.15134e-07,35155562,628,35155562.0,10135208,1.16497e-07,9.2716e-08,3.979e-09,3.58004,2061757.0,6.23004,305927038192333.7,305927038192333.7,420690000000000.0,1.29758e-07,-11.85302,2026-04-22T13:45:29.801Z,1.3227e-08,764.76062,2026-03-28T20:15:33.647Z,,2026-05-05T15:41:45.076Z,666.8370444674435,55.484740210494735,early_accumulation,False,low,False,2.26063,,1.31941,,True,False,False,0.2882960027775975,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),50m_range
