id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,suspected_wash_trading,momentum,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,price_resilience,timeframe_analysis,timeframe_classification,social_analysis,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong
solidus-aitech,acn,AITECH Cloud Network,https://coin-images.coingecko.com/coins/images/22114/large/acn_ticker.png?1777507994,0.01192267,21268476,899,23675254,38127200,0.01361854,0.01181989,-0.000878080682695178,-6.8596,-1333521.858733289,-5.90002,1784154431.0,1986052500.0,2000000000.0,0.493943,-97.58401,2024-03-13T05:09:55.639Z,0.00502937,137.27849,2026-02-24T16:37:29.642Z,,2026-05-13T09:14:25.788Z,110.58230195149721,-7.693890836816399,breakout,False,low,False,0.6013,,-7.4609000000000005,,True,False,False,1.7926625302160812,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),10_49m_range,1.5,0,0.9,1,0,0,0,20260511,0,0,False,False,NOT_APPLICABLE,False
paris-saint-germain-fan-token,psg,Paris Saint-Germain Fan Token,https://coin-images.coingecko.com/coins/images/11620/large/PSG.png?1741772294,1.054,16198777,1019,20874731,18018298,1.14,0.990954,0.02649641,2.5779,333147.0,2.0998,15434626.0,19890000.0,19890000.0,58.79,-98.21808,2021-04-27T04:13:36.909Z,0.600374,74.48591,2026-02-06T00:30:21.119Z,,2026-05-13T09:14:43.028Z,12.960268798581001,40.00150795787026,breakout,False,low,False,0.6013,,1.9766000000000001,,True,False,False,1.1123245909243642,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.797,False,Ratio em queda — sem acumulação,10_49m_range,1.5,0,0.9,2,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False
act-i-the-ai-prophecy,act,Act I The AI Prophecy,https://coin-images.coingecko.com/coins/images/50984/large/ai_prophecy.jpg?1729653897,0.01633238,15449219,1039,15449219,11720092,0.01641003,0.0154271,0.00063563,4.04941,629410.0,4.24708,948240747.138419,948240747.138419,1000000000.0,0.919768,-98.23397,2024-11-14T08:35:39.083Z,0.00709075,129.07899,2025-10-10T21:25:23.179Z,,2026-05-13T09:14:28.683Z,29.398867172789128,2.111193921752891,strong,False,low,False,0.6013,,3.44811,,True,False,False,0.7586203548541839,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.1208,False,Ratio em queda — sem acumulação,10_49m_range,1.1,0,0.66,3,0,0,0,20260504,0,0,False,False,NOT_APPLICABLE,False
dogs-2,dogs,Dogs,https://coin-images.coingecko.com/coins/images/39699/large/dogs_logo_200x200.png?1723687163,6.137e-05,31745856,707,33788527,30015077,6.759e-05,6.083e-05,-5.486651159553e-06,-8.20647,-2838776.4044485614,-8.2082,516750000000.0,550000000000.0,550000000000.0,0.00163299,-96.24632,2024-08-28T10:10:46.492Z,2.375e-05,158.0895,2026-02-28T12:15:13.471Z,,2026-05-13T09:13:27.839Z,127.14541731525404,12.387234343579824,strong,False,low,False,0.6013,,-8.80777,,True,False,False,0.945480159678164,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.358,weak,0.0549,False,Sinal fraco: slope=0.0549,10_49m_range,1.0,0,0.6,4,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
mubarak,mubarak,Mubarak,https://coin-images.coingecko.com/coins/images/54857/large/DKjv3dc6_400x400.jpg?1742107486,0.0169188,16879963,998,16879963,13933886,0.01771271,0.01640141,0.00022198,1.32948,170904.0,1.02282,1000000000.0,1000000000.0,1000000000.0,0.211228,-92.03818,2025-03-18T05:06:59.770Z,0.01000671,68.06337,2025-10-10T21:27:11.195Z,,2026-05-13T09:14:41.732Z,41.91904028020615,1.03834752329581,strong,False,low,False,0.6013,,0.72818,,True,False,False,0.8254689894758656,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.0,none,-0.1352,False,Ratio em queda — sem acumulação,10_49m_range,1.0,0,0.6,5,0,0,0,20260503,0,0,False,False,NOT_APPLICABLE,False
superrare,rare,SuperRare,https://coin-images.coingecko.com/coins/images/17753/large/RARE.png?1709598473,0.01878229,15435560,1040,18812128,11571373,0.01929855,0.01843456,0.00021675,1.1675,-18556.457597451285,-0.12007,820511096.0697726,1000000000.0,1000000000.0,3.64,-99.48478,2021-10-11T06:31:17.858Z,0.01362061,37.74067,2026-03-29T22:52:13.158Z,,2026-05-13T09:14:25.332Z,27.626719986641884,6.575243130927206,strong,False,low,False,0.6013,,0.5662,,True,False,False,0.749656831368606,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10_49m_range,1.0,0,0.6,6,0,0,0,20260512,0,0,False,False,NOT_APPLICABLE,False
usd-coinvertible,usdcv,USD CoinVertible,https://coin-images.coingecko.com/coins/images/69726/large/usd-coinvertible.png?1759401966,0.999504,20150524,924,20150524,15005268,0.99995,0.998275,0.00044366,0.04441,-12411.175217773765,-0.06155,20167176.0,20167176.0,,1.13,-11.74667,2025-10-10T21:26:30.938Z,0.978779,2.12848,2025-10-10T21:17:49.442Z,,2026-05-13T09:14:37.822Z,0.02935034302706544,0.029953306843454618,strong,False,low,False,0.6013,,-0.55689,,True,False,False,0.7446589478268655,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.525,moderate,0.2899,False,Possível acumulação: slope=0.2899,10_49m_range,1.0,0,0.6,7,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False
vine,vine,Vine,https://coin-images.coingecko.com/coins/images/53859/large/vine.jpg?1737613523,0.01825189,18246081,963,18246081,10583659,0.01986363,0.01659918,0.00102613,5.95694,1055114.0,6.13761,999969371.335264,999969371.335264,1000000000.0,0.469941,-96.12411,2025-01-26T10:00:27.525Z,0.01447873,25.801,2026-04-28T10:55:44.220Z,,2026-05-13T09:14:29.166Z,12.960746893087693,17.24857475728711,strong,False,low,False,0.6013,,5.35564,,True,False,False,0.5800510805580661,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.0,none,-0.0101,False,Ratio em queda — sem acumulação,10_49m_range,0.6,0,0.36,8,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
useless-3,useless,Useless Coin,https://coin-images.coingecko.com/coins/images/55684/large/coingeckoupdate.png?1755203747,0.070032,70675864,407,70675864,45248326,0.084913,0.068018,-0.008819779904456176,-11.18526,-7031356.183913276,-9.04852,999940362.02,999940362.02,1000000000.0,0.434591,-83.67338,2025-10-14T14:50:41.608Z,0.00519952,1264.6263,2025-06-05T11:05:59.234Z,,2026-05-13T09:13:25.041Z,84.59942883689546,55.56190359897695,strong,False,low,False,0.6013,,-11.78656,,True,False,False,0.6402231743498742,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.65,strong,0.1487,True,"Acumulação silenciosa: slope=0.1487, consistência=100%",50m_range,0.5,0,0.3,1,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False
sandisk-ondo-tokenized,sndkon,SanDisk (Ondo Tokenized),https://coin-images.coingecko.com/coins/images/102172440/large/sndkon_160x160.png?1773419692,1522.8,16470526,1011,16470526,11128988,1530.28,1373.28,17.5,1.16264,-6391967.049716789,-27.95831,10822.9461202228,10822.9461202228,,1640.48,-7.08348,2026-05-11T00:55:47.110Z,554.14,175.07197,2026-03-30T23:54:37.586Z,,2026-05-13T09:14:42.824Z,75.92204872669137,2.222355480875184,strong,False,low,False,0.6013,,0.56134,,True,False,False,0.6756911102899811,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10_49m_range,0.5,0,0.3,9,0,0,0,20260507,0,0,False,False,NOT_APPLICABLE,False
