id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,drawdown_pct,suspected_wash_trading,momentum,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,price_resilience,timeframe_analysis,timeframe_classification,social_analysis,seller_exhaustion,volatility_14d,ratio_surge,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong
stablr-usd,usdr,StablR USD,https://coin-images.coingecko.com/coins/images/53721/large/stablrusd-logo.png?1737126629,0.97618,20593756,880,20593756,30395456,0.977882,0.618478,0.157663,19.26198,3346808.0,19.40522,21076437.506944,21076437.506944,,1.053,-7.5595,2025-03-04T20:26:03.971Z,0.40209,141.98542,2026-05-24T08:51:44.804Z,,2026-05-25T11:14:24.911Z,-2.329743831876003,-2.3479568989057733,breakout,0.073,False,low,False,0.19561,,19.066370000000003,,True,False,False,1.4759549447900615,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),10_49m_range,1.6,0,0.96,1,0,0,0,20260525,0,0,False,False,NOT_APPLICABLE,False
bonfida,fida,Bonfida,https://coin-images.coingecko.com/coins/images/13395/large/bonfida.png?1696513157,0.03610905,35840206,622,35840206,71414707,0.04018277,0.03545127,-6.6829893701367e-05,-0.18474,-269273.5720568076,-0.74571,990910775.601921,990910775.601921,1000000000.0,18.77,-99.80597,2021-11-03T20:34:33.492Z,0.01221703,198.16624,2026-03-29T22:50:36.078Z,,2026-05-25T11:14:27.304Z,111.95896404655417,51.57810788632445,breakout,0.9981,True,low,False,0.19561,,-0.38034999999999997,,True,False,False,1.9925863986384453,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.661,strong,0.3205,True,"Acumulação silenciosa: slope=0.3205, consistência=44%",10_49m_range,1.2,0,0.72,2,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False
pha,pha,PHALA,https://coin-images.coingecko.com/coins/images/12451/large/phala.png?1696512270,0.04157717,34706735,636,41363903,32668772,0.04298668,0.03622771,0.00280558,7.23617,2045250.0,6.26196,839058499.4721034,1000000000.0,1000000000.0,1.39,-97.06426,2021-05-15T04:20:32.741Z,0.02120268,92.55131,2026-03-01T20:41:27.308Z,,2026-05-25T11:14:22.143Z,21.441944394541583,34.95247495088806,strong,0.9701,False,low,False,0.19561,,7.04056,,True,False,False,0.9412804748127417,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.66,strong,0.0292,True,"Acumulação silenciosa: slope=0.0292, consistência=54%",10_49m_range,1.1,0,0.66,3,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False
paris-saint-germain-fan-token,psg,Paris Saint-Germain Fan Token,https://coin-images.coingecko.com/coins/images/11620/large/PSG.png?1741772294,1.047,16792043,972,20985549,12621215,1.088,1.024,0.01728884,1.67906,410299.0,2.50461,15915415.9143673,19890000.0,19890000.0,58.79,-98.20311,2021-04-27T04:13:36.909Z,0.600374,75.95138,2026-02-06T00:30:21.119Z,,2026-05-25T11:14:21.899Z,22.843557172653593,3.1838850930987532,strong,0.9822,False,low,False,0.19561,,1.48345,,True,False,False,0.7516187875412181,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.126,False,Ratio em queda — sem acumulação,10_49m_range,1.0,0,0.6,4,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False
dogs-2,dogs,Dogs,https://coin-images.coingecko.com/coins/images/39699/large/dogs_logo_200x200.png?1723687163,5.19e-05,26844948,754,28572272,17978159,5.415e-05,4.804e-05,1.98e-06,3.96146,1065949.0,4.13495,516750000000.0,550000000000.0,550000000000.0,0.00163299,-96.81364,2024-08-28T10:10:46.492Z,2.375e-05,119.08309,2026-02-28T12:15:13.471Z,,2026-05-25T11:14:24.238Z,57.6022580306053,-2.66206671606581,strong,0.9682,False,low,False,0.19561,,3.7658500000000004,,True,False,False,0.6697036254270263,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Meme,0.0,none,-0.1101,False,Ratio em queda — sem acumulação,10_49m_range,0.6,0,0.36,5,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
test-3,tst,Test,https://coin-images.coingecko.com/coins/images/54274/large/Test.png?1738997629,0.01780315,16830290,968,16830290,11111595,0.01803541,0.01679513,0.00075277,4.41497,759877.0,4.72842,942230397.1986927,942230397.1986927,1000000000.0,0.511293,-96.49362,2025-02-09T09:09:52.387Z,0.00783528,128.8096,2026-03-29T22:56:25.457Z,,2026-05-25T11:14:30.263Z,55.57524966434927,9.229175610814158,strong,0.9652,False,low,False,0.19561,,4.21936,,True,False,False,0.6602141139576323,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0,False,Ratio em queda — sem acumulação,10_49m_range,0.6,0,0.36,6,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False
zelcash,flux,Flux,https://coin-images.coingecko.com/coins/images/5163/large/Flux_symbol_blue-white.png?1696505679,0.075136,30815727,687,30817979,15669053,0.076192,0.068593,0.00654295,9.53878,2710022.0,9.64225,410224582.4991484,410254570.4991484,440000000.0,3.33,-97.74166,2022-01-03T10:18:02.680Z,0.01640374,357.879,2021-01-13T05:29:57.987Z,,2026-05-25T11:14:25.113Z,3.4558814153314,10.038304437845477,strong,0.9774,False,low,False,0.19561,,9.343169999999999,,True,False,False,0.5084758506589833,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),10_49m_range,0.6,0,0.36,7,0,0,0,20260525,0,0,False,False,NOT_APPLICABLE,False
metamask-usd,musd,MetaMask USD,https://coin-images.coingecko.com/coins/images/68451/large/MetaMask-mUSD-Icon-200x200.png?1755878384,0.999841,32097411,671,32097411,19983393,1.024,0.999312,8.567e-05,0.00857,-997436.5079207495,-3.01387,32102710.445669,32102710.445669,,1.26,-20.6868,2026-05-17T23:15:47.956Z,0.979806,2.01096,2025-09-03T00:00:00.000Z,,2026-05-25T11:14:25.778Z,0.009152120153767953,0.0023296923490715386,strong,0.2065,False,low,False,0.19561,,-0.18704,,True,False,False,0.6225858216415024,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10_49m_range,0.5,0,0.3,8,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False
stepn,gmt,GMT,https://coin-images.coingecko.com/coins/images/23597/large/token-gmt-200x200.png?1703153841,0.01184513,36751943,610,59932456,21951480,0.01217095,0.01148468,-9.3816922293993e-05,-0.78581,-474708.6276841089,-1.27518,3111400155.0,5073850155.102167,6000000000.0,4.11,-99.71308,2022-04-28T03:29:53.820Z,0.00938775,25.53113,2026-03-29T22:55:08.566Z,,2026-05-25T11:14:22.838Z,-5.194689230048828,13.092174646503352,strong,0.9971,False,low,False,0.19561,,-0.98142,,True,False,False,0.5972876046308626,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.4,moderate,0.1885,False,Possível acumulação: slope=0.1885,10_49m_range,0.5,0,0.3,9,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False
clearpool,cpool,Clearpool,https://coin-images.coingecko.com/coins/images/19252/large/photo_2022-08-31_12.45.02.jpeg?1696518697,0.03288773,33262692,655,33262692,14474584,0.03589306,0.03061477,0.0017855,5.74074,2028800.0,6.49551,1000000000.0,1000000000.0,1000000000.0,2.55,-98.69566,2021-11-16T18:18:49.737Z,0.01599962,108.02755,2023-10-16T19:32:35.253Z,,2026-05-25T11:14:28.314Z,17.79282701049982,11.52330630969947,early_accumulation,0.9871,False,low,False,0.19561,,5.5451299999999994,,True,False,False,0.4351597279017585,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),10_49m_range,0.1,0,0.06,10,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False
