id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,drawdown_pct,price_resilience,is_gold,suspected_wash_trading,momentum,rs_24h,rs_7d,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,timeframe_analysis,timeframe_classification,social_analysis,seller_exhaustion,volatility_14d,ratio_surge,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong,fdv_warning
synapse-2,syn,Synapse,https://coin-images.coingecko.com/coins/images/18024/large/synapse_social_icon.png?1696517540,0.416637,91367786,282,104269450,101115270,0.463814,0.278015,0.051072,13.97074,11700814.0,14.68716,219066529.0,250000000.0,250000000.0,4.92,-91.2958,2021-10-24T00:24:41.805Z,0.02738298,1462.45915,2026-06-11T02:30:31.818Z,,2026-06-28T12:26:11.880Z,894.9741414513975,197.06983010192772,breakout,0.9153,False,False,False,low,14.06538,,True,True,1.1066840341299284,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0933,False,Ratio em queda — sem acumulação,50m_range,1.5,0,0.9,1,0,0,0,20260619,0,0,False,False,NOT_APPLICABLE,True,
act-i-the-ai-prophecy,act,Act I The AI Prophecy,https://coin-images.coingecko.com/coins/images/50984/large/ai_prophecy.jpg?1729653897,0.0163623,15484780,940,15484780,104743733,0.01583843,0.00781047,0.00832957,103.69534,7863605.0,103.181,948240328.267513,948240328.267513,1000000000.0,0.919768,-98.40311,2024-11-14T08:35:39.083Z,0.00709075,107.13877,2025-10-10T21:25:23.179Z,,2026-06-28T12:38:30.474Z,40.1090048407065,78.71928857667062,breakout,0.9822,False,False,False,low,103.75194,,True,True,6.764302302002354,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),10_49m_range,1.5,0,0.9,1,0,0,0,20260504,0,0,False,False,NOT_APPLICABLE,True,
adventure-gold,agld,Adventure Gold,https://coin-images.coingecko.com/coins/images/18125/large/lpgblc4h_400x400.jpg?1696517628,0.184666,16145155,901,17142340,64823420,0.238045,0.182823,-0.01811265101177345,-8.93221,-1616702.3176022489,-9.1021,87430001.0,92830001.0,96000000.0,7.7,-97.58817,2021-09-03T11:41:40.240Z,0.117529,58.0598,2026-06-25T13:56:03.279Z,,2026-06-28T12:38:23.544Z,-12.372039544420327,16.306537464040996,breakout,0.976,False,False,False,low,-8.87561,,False,False,4.0150385672977436,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.4,moderate,0.1638,False,Possível acumulação: slope=0.1638,10_49m_range,1.5,0,0.9,2,0,0,0,20260511,0,0,False,False,NOT_APPLICABLE,False,
pocket-network,pokt,Pocket Network,https://coin-images.coingecko.com/coins/images/22506/large/POKT.jpg?1703257310,0.00841542,16929350,876,19787897,22717219,0.01140253,0.00767474,0.00074067,9.65078,1490222.0,9.65224,2011680128.050819,2351355446.249961,,3.11,-99.72648,2022-01-16T07:15:26.325Z,0.00714357,19.23839,2026-06-25T20:01:11.002Z,,2026-06-28T12:38:23.829Z,-28.390325166205837,6.311899225902855,breakout,0.9973,False,False,False,low,9.707379999999999,,True,True,1.3418837108335524,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,True,Other,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),10_49m_range,1.5,0,0.9,3,0,0,0,20260512,0,0,False,False,NOT_APPLICABLE,True,
atletico-madrid,atm,Atletico Madrid Fan Token,https://coin-images.coingecko.com/coins/images/11689/large/ATM.png?1741425591,2.22,19053954,830,22204280,23755885,2.43,1.86,0.313159,16.42177,2689808.0,16.4372,8581208.0,10000000.0,10000000.0,58.46,-96.19013,2021-05-16T13:28:09.717Z,0.752321,196.05155,2026-02-06T00:21:31.888Z,,2026-06-28T12:38:22.201Z,129.72184573955207,40.67475326045288,breakout,0.962,False,False,False,low,16.478369999999998,,True,True,1.2467693057304536,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.937,False,Ratio em queda — sem acumulação,10_49m_range,1.5,0,0.9,4,0,0,0,20260625,0,0,False,False,NOT_APPLICABLE,True,
celo,celo,Celo,https://coin-images.coingecko.com/coins/images/11090/large/InjXBNx9_400x400.jpg?1696511031,0.06827,41115687,499,68274544,41463511,0.071233,0.061789,0.00186443,2.80763,1125223.0,2.81373,602211072.0,1000000000.0,1000000000.0,9.82,-99.3131,2021-08-30T14:25:09.929Z,0.056378,19.66173,2026-06-06T05:06:02.169Z,,2026-06-28T12:38:21.858Z,-6.0137335091131385,3.8562517365950026,breakout,0.993,False,False,False,low,2.86423,,True,True,1.0084596421798813,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,L1,0.817,very_strong,0.0923,True,"Acumulação silenciosa FORTE: slope=0.0923, consistência=67%, aceleração=251%",10_49m_range,1.5,0,0.9,5,0,0,0,20260523,0,0,False,False,NOT_APPLICABLE,True,True
sonic-3,s,Sonic,https://coin-images.coingecko.com/coins/images/38108/large/200x200_Sonic_Logo.png?1734679256,0.02635308,99965028,268,102625333,91005071,0.02641256,0.01994482,0.00625806,31.14234,23911554.0,31.44045,3784775845.0,3885497663.0,,1.029,-97.44267,2025-01-04T21:35:44.705Z,0.01934076,36.12191,2026-06-25T14:00:28.909Z,,2026-06-28T12:26:21.963Z,-34.1494787349718,-5.325442933205906,strong,0.9744,False,False,False,low,31.23698,,True,True,0.910369084276153,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,True,Other,0.65,strong,0.1141,True,"Acumulação silenciosa: slope=0.1141, consistência=100%",50m_range,1.0,0,0.6,2,0,0,0,20260623,0,0,False,False,NOT_APPLICABLE,True,
stargate-finance,stg,Stargate Finance,https://coin-images.coingecko.com/coins/images/24413/large/STG_LOGO.png?1696523595,0.170073,23963871,721,23963839,21982698,0.182028,0.158517,0.01018934,6.37298,1442856.0,6.40671,140901753.71523574,140901565.17584506,1000000000.0,4.14,-95.88924,2022-04-02T00:00:00.000Z,0.104476,62.95252,2025-12-31T19:01:22.813Z,,2026-06-28T12:38:24.742Z,0.507360283822524,-15.974598897828171,strong,0.9589,False,False,False,low,6.4295800000000005,,True,True,0.9173266706368098,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0205,False,Ratio em queda — sem acumulação,10_49m_range,1.0,0,0.6,6,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,True,
civic,cvc,Civic,https://coin-images.coingecko.com/coins/images/788/large/civic-icon-black-padding.png?1750494984,0.02117844,16978090,877,21169688,8595791,0.02272565,0.02086917,0.00028615,1.36963,223927.0,1.33655,802000010.0,1000000000.0,,1.35,-98.44036,2018-01-03T00:00:00.000Z,0.01102541,90.78973,2020-03-13T02:15:34.328Z,"{'times': -0.7882156156975721, 'currency': 'usd', 'percentage': -78.82156156975721}",2026-06-28T12:38:33.182Z,-23.238645349473007,-2.8117633259506274,strong,0.9843,False,False,False,low,1.4262299999999999,,False,True,0.5062872796645559,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.525,moderate,0.3352,False,Possível acumulação: slope=0.3352,10_49m_range,0.5,0,0.3,7,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False,
aixbt,aixbt,aixbt,https://coin-images.coingecko.com/coins/images/51784/large/3.png?1731981138,0.0192277,19124744,828,19227449,9673190,0.01967242,0.018001,-0.000442410868317183,-2.24915,-442598.9975152798,-2.26193,994658423.1010208,1000000000.0,1000000000.0,0.942578,-97.96366,2025-01-16T11:56:02.862Z,0.01797721,6.76917,2026-02-23T01:30:43.221Z,,2026-06-28T12:38:28.603Z,-32.377655507489436,-16.07785122915653,strong,0.9796,False,False,False,low,-2.19255,,False,False,0.5057944827915082,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,AI,0.0,none,-0.0042,False,Ratio em queda — sem acumulação,10_49m_range,0.5,0,0.3,8,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False,
havven,snx,Synthetix,https://coin-images.coingecko.com/coins/images/3406/large/SNX.png?1696504103,0.233714,80493283,298,80592261,36650502,0.246106,0.209204,0.01890775,8.80222,6437472.0,8.69273,344516234.4572882,344939867.5556631,344939867.0,28.53,-99.18632,2021-02-14T01:12:38.505Z,0.0347864,567.39143,2019-01-06T00:00:00.000Z,"{'times': -0.5325710940604302, 'currency': 'usd', 'percentage': -53.25710940604302}",2026-06-28T12:26:15.246Z,-22.82282299106144,-2.7359833207819686,early_accumulation,0.9918,False,False,False,low,8.89686,,True,True,0.4553237317951114,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,DeFi,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),50m_range,0.0,0,0.0,3,0,0,0,20260627,0,0,False,False,NOT_APPLICABLE,True,
holotoken,hot,Holo,https://coin-images.coingecko.com/coins/images/3348/large/hot-mark-med.png?1747766692,0.00032867,58409099,385,58409099,21738541,0.00038032,0.00030046,2.237e-05,7.30506,3999275.0,7.35028,177619433541.1413,177619433541.1413,,0.03126682,-98.95587,2021-04-05T16:04:52.608Z,0.0002202,48.25912,2020-03-13T02:23:01.612Z,"{'times': -0.08147576898292314, 'currency': 'eth', 'percentage': -8.147576898292312}",2026-06-28T12:26:15.184Z,-10.434625298184047,5.615417688506494,early_accumulation,0.9895,False,False,False,low,7.3997,,True,True,0.3721773040875018,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Infra,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),50m_range,0.0,0,0.0,4,0,0,0,20260603,0,0,False,False,NOT_APPLICABLE,True,
wormhole,w,Wormhole,https://coin-images.coingecko.com/coins/images/35087/large/W_Token_%283%29.png?1758122686,0.00971102,59164357,380,97109290,13880969,0.01033432,0.00956396,-0.000545029536435463,-5.31422,-3381147.996636547,-5.4059,6092553768.0,10000000000.0,10000000000.0,1.66,-99.41514,2024-04-03T11:46:35.308Z,0.00851248,13.89551,2026-06-10T23:20:46.175Z,,2026-06-28T12:26:15.173Z,-15.682649762820041,-13.480057548043867,early_accumulation,0.9941,False,False,False,low,-5.21958,,False,False,0.2346170854185063,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0005,False,Ratio em queda — sem acumulação,50m_range,0.0,0,0.0,5,0,0,0,20260509,0,0,False,False,NOT_APPLICABLE,False,True
bio-protocol,bio,Bio Protocol,https://coin-images.coingecko.com/coins/images/53022/large/bio.jpg?1735011002,0.02934078,62935978,363,97410078,14013382,0.02997702,0.02861557,-0.000539753008376925,-1.80637,-1299179.8704815656,-2.02254,2145029070.25,3320000000.0,3320000000.0,0.888995,-96.70023,2025-01-03T13:16:10.915Z,0.01589991,84.49644,2026-03-29T22:55:40.552Z,,2026-06-28T12:26:17.952Z,-1.1185964450078196,-7.71165835814291,early_accumulation,0.967,False,False,False,low,-1.71173,,False,False,0.22266090788324605,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0129,False,Ratio em queda — sem acumulação,50m_range,0.0,0,0.0,6,0,0,0,20260513,0,0,False,False,NOT_APPLICABLE,False,True
memecoin-2,meme,Memecoin,https://coin-images.coingecko.com/coins/images/32528/large/memecoin_%282%29.png?1698912168,0.00058058,36876595,544,40060293,18424691,0.00059574,0.00051906,5.291e-05,10.02722,3360711.0,10.02722,63516387916.66666,69000000000.0,69000000000.0,0.056324,-98.97271,2024-03-04T17:30:21.569Z,0.00046386,24.73724,2026-05-28T12:25:43.677Z,,2026-06-28T12:38:25.689Z,19.041166722289034,3.4136911940315144,early_accumulation,0.9897,False,False,False,low,10.08382,,True,True,0.49963102612917487,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.1238,False,Ratio em queda — sem acumulação,10_49m_range,0.0,0,0.0,9,0,0,0,20260503,0,0,False,False,NOT_APPLICABLE,True,
epic-chain,epic,Epic Chain,https://coin-images.coingecko.com/coins/images/54734/large/PFP.png?1753421273,0.443202,14891586,941,14891586,6489211,0.459438,0.440148,0.00211582,0.47968,71070.0,0.47954,33600000.0,33600000.0,33600000.0,3.2,-86.1319,2025-08-20T15:57:23.043Z,0.192233,130.65385,2026-05-29T04:15:25.109Z,,2026-06-28T12:38:29.573Z,113.63729994743052,-5.56877486412785,early_accumulation,0.8615,False,False,False,low,0.53628,,False,True,0.4357635916013244,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.1132,False,Ratio em queda — sem acumulação,10_49m_range,0.0,0,0.0,10,0,0,0,20260603,0,0,False,False,NOT_APPLICABLE,False,
g-token,g,Gravity (by Galxe),https://coin-images.coingecko.com/coins/images/39200/large/gravity.jpg?1721020647,0.00316668,22903874,743,38000538,9964772,0.00325956,0.00309016,4.097e-05,1.31089,296585.0,1.3119,7232700000.0,12000000000.0,12000000000.0,0.091691,-96.52804,2024-07-18T08:44:41.666Z,0.00255749,24.47701,2026-06-23T06:35:30.638Z,,2026-06-28T12:38:27.162Z,-4.384016944311315,18.160691930086458,early_accumulation,0.9655,False,False,False,low,1.36749,,False,True,0.43506928129276295,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.408,moderate,0.1878,False,Possível acumulação: slope=0.1878,10_49m_range,0.0,0,0.0,11,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False,True
lisk,lsk,Lisk,https://coin-images.coingecko.com/coins/images/385/large/Logo_-_Black_with_White_Outline_on_Transparent.png?1769242213,0.092423,21554921,780,36990709,7607155,0.092577,0.084787,0.00578445,6.67651,1360723.0,6.73819,233084697.0,400000000.0,400000000.0,34.92,-99.73853,2018-01-07T00:00:00.000Z,0.078235,16.72,2026-06-25T14:00:50.277Z,,2026-06-28T12:38:27.172Z,-15.68534765682252,3.803986211482688,early_accumulation,0.9974,False,False,False,low,6.733110000000001,,True,True,0.352919641876674,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10_49m_range,0.0,0,0.0,12,0,0,0,20260523,0,0,False,False,NOT_APPLICABLE,True,True
