id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,suspected_wash_trading,momentum,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,price_resilience,timeframe_analysis,timeframe_classification,social_analysis,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong
ontology,ont,Ontology,https://coin-images.coingecko.com/coins/images/3447/large/ONT.png?1696504138,0.066362,67052013,402,67052013,81528558,0.068707,0.056648,0.00931781,16.3345,10111929.0,17.75889,1000000000.0,1000000000.0,,10.92,-99.38599,2018-05-03T01:43:05.844Z,0.0390593,71.6672,2026-03-08T22:25:15.766Z,,2026-05-19T12:04:43.661Z,-13.487929904103387,4.225406007544175,breakout,False,low,False,-0.78095,,17.11545,,True,True,True,1.215900229572526,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),50m_range,1.9,0,1.14,1,0,0,0,20260519,0,0,False,False,NOT_APPLICABLE,True
bonfida,fida,Bonfida,https://coin-images.coingecko.com/coins/images/13395/large/bonfida.png?1696513157,0.02044846,20224449,880,20224449,52355160,0.02675139,0.02032612,-0.003198671596318547,-13.52668,-3303463.870038841,-14.04062,990910779.246254,990910779.246254,1000000000.0,18.77,-99.89129,2021-11-03T20:34:33.492Z,0.01221703,67.06084,2026-03-29T22:50:36.078Z,,2026-05-19T12:04:41.982Z,25.845238288264067,5.004543211671363,breakout,False,low,False,-0.78095,,-12.74573,,True,False,False,2.5887063721736006,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.419,moderate,0.8407,False,Possível acumulação: slope=0.8407,10_49m_range,1.5,0,0.9,1,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False
ronin,ron,Ronin,https://coin-images.coingecko.com/coins/images/20009/large/photo_2024-04-06_22-52-24.jpg?1712415367,0.118628,91181659,306,118049536,82425147,0.136452,0.085423,0.03140444,36.00466,23900579.0,35.52348,772401679.4337813,1000000000.0,1000000000.0,4.45,-97.34284,2024-03-26T05:12:38.487Z,0.080897,46.18707,2026-02-06T00:22:10.894Z,,2026-05-19T12:04:42.584Z,17.614108139937894,8.475492331215706,strong,False,low,False,-0.78095,,36.78561,,True,True,True,0.9039663009421665,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),50m_range,1.4,0,0.84,2,0,0,0,20260519,0,0,False,False,NOT_APPLICABLE,True
pha,pha,PHALA,https://coin-images.coingecko.com/coins/images/12451/large/phala.png?1696512270,0.03239955,27205983,739,32436690,19481516,0.03453462,0.03141039,0.00098916,3.14915,775645.0,2.93468,838741050.060409,1000000000.0,1000000000.0,1.39,-97.66752,2021-05-15T04:20:32.741Z,0.02120268,52.98391,2026-03-01T20:41:27.308Z,,2026-05-19T12:04:59.236Z,2.1602696101510888,-15.082521692027209,strong,False,low,False,-0.78095,,3.9301000000000004,,True,True,True,0.7160746957755579,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.0059,False,Ratio em queda — sem acumulação,10_49m_range,1.2,0,0.72,2,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,True
ondo-u-s-dollar-token,usdon,Ondo U.S. Dollar Token,https://coin-images.coingecko.com/coins/images/68688/large/usdon_160x160.png?1756268513,1.0,59509979,432,59509979,50120940,1.0,1.0,0.0,0.0,-6813278.70599281,-10.27283,59509979.02347129,59509979.02347129,,1.0,0.0,2025-08-27T08:45:01.644Z,1.0,0.0,2025-08-27T08:45:01.644Z,,2026-05-19T12:04:54.355Z,0.0,0.0,strong,False,low,False,-0.78095,,0.78095,,True,False,False,0.8422274859145892,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.0421,False,Ratio em queda — sem acumulação,50m_range,1.0,0,0.6,3,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False
prometeus,prom,Prom,https://coin-images.coingecko.com/coins/images/8825/large/Ticker.png?1696508978,1.18,21543149,843,22723595,18909607,1.26,1.1,-0.041737103978933154,-3.41313,-773688.6560944952,-3.46684,18250000.0,19250000.0,19250000.0,105.94,-98.88572,2021-04-30T01:09:49.503Z,0.088747,1230.10925,2019-11-08T13:37:42.508Z,"{'times': 0.181103308634168, 'currency': 'usd', 'percentage': 18.1103308634168}",2026-05-19T12:04:46.532Z,-45.968721574207905,-43.97660007391203,strong,False,low,False,-0.78095,,-2.63218,,True,False,False,0.8777550115816402,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10_49m_range,1.0,0,0.6,3,0,0,0,20260518,0,0,False,False,NOT_APPLICABLE,False
goatseus-maximus,goat,Goatseus Maximus,https://coin-images.coingecko.com/coins/images/50717/large/GOAT_LOGO_NEW.jpg?1731292759,0.01822513,18227459,934,18227459,15115037,0.02382645,0.01636214,-0.000248431205855403,-1.34479,-160160.22292679548,-0.87102,999979778.966028,999979778.966028,1000000000.0,1.35,-98.65069,2024-11-17T13:01:21.319Z,0.01393137,30.83932,2026-04-13T05:20:44.631Z,,2026-05-19T12:04:44.443Z,9.919447764403493,-14.909422904936044,strong,False,low,False,-0.78095,,-0.5638399999999999,,True,False,False,0.8292454258160723,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.401,moderate,0.0103,False,Possível acumulação: slope=0.0103,10_49m_range,1.0,0,0.6,4,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
dogs-2,dogs,Dogs,https://coin-images.coingecko.com/coins/images/39699/large/dogs_logo_200x200.png?1723687163,5.379e-05,27825815,729,29616252,21218835,5.794e-05,5.352e-05,-7.17071553362e-07,-1.31567,-259681.24444971606,-0.92461,516750000000.0,550000000000.0,550000000000.0,0.00163299,-96.70251,2024-08-28T10:10:46.492Z,2.375e-05,126.72385,2026-02-28T12:15:13.471Z,,2026-05-19T12:04:44.190Z,68.95937229144596,-18.640365541878257,strong,False,low,False,-0.78095,,-0.5347199999999999,,True,False,False,0.7625593356385069,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.0,none,-0.1083,False,Ratio em queda — sem acumulação,10_49m_range,1.0,0,0.6,5,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
book-of-meme,bome,BOOK OF MEME,https://coin-images.coingecko.com/coins/images/36071/large/bome.png?1710407255,0.00062208,42990950,543,42990950,30040196,0.00065195,0.00058082,3.461e-05,5.89091,2750299.0,6.83463,68999659569.0,68999659569.0,68999659569.0,0.02688878,-97.68468,2024-03-16T13:51:17.648Z,5.848e-05,964.52535,2024-03-14T10:17:29.365Z,,2026-05-19T12:04:44.141Z,13.40160774752821,2.502114745424475,strong,False,low,False,-0.78095,,6.67186,,True,True,True,0.698756273122599,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.0,none,-0.0087,False,Ratio em queda — sem acumulação,10_49m_range,0.9,0,0.54,6,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,True
test-3,tst,Test,https://coin-images.coingecko.com/coins/images/54274/large/Test.png?1738997629,0.01740816,16452325,979,16452325,8395825,0.01747155,0.01635515,0.00073487,4.40744,759867.0,4.84225,942230397.1986927,942230397.1986927,1000000000.0,0.511293,-96.59325,2025-02-09T09:09:52.387Z,0.00783528,122.30803,2026-03-29T22:56:25.457Z,,2026-05-19T12:04:44.891Z,59.923865625073944,-18.51945654520667,strong,False,low,False,-0.78095,,5.18839,,True,True,True,0.5103123722634947,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.0655,False,Ratio em queda — sem acumulação,10_49m_range,0.9,0,0.54,7,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,True
