id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,drawdown_pct,price_resilience,is_gold,suspected_wash_trading,momentum,rs_24h,rs_7d,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,timeframe_analysis,timeframe_classification,social_analysis,seller_exhaustion,volatility_14d,ratio_surge,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong,fdv_warning
pha,pha,PHALA,https://coin-images.coingecko.com/coins/images/12451/large/phala.png?1696512270,0.04146604,34797486,608,41461674,37876866,0.04477049,0.04054157,-7.8999793151825e-05,-0.19015,-56864.61745009571,-0.16315,839268731.0774316,1000000000.0,1000000000.0,1.39,-97.02452,2021-05-15T04:20:32.741Z,0.02120268,95.15749,2026-03-01T20:41:27.308Z,,2026-05-30T01:34:21.633Z,32.220904891819565,25.47744529838271,breakout,0.9702,False,False,False,low,-0.33104,,False,False,1.0884943239865086,10_49m_range,True,"{'short_term': {'has_spike': True, 'momentum_initial': 'low', 'volume_mc_ratio': 1.0301089131383947, 'is_candidate': True}, 'medium_term': {'persistence_days': 6, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': True}, 'long_term': {'trend_clear': True, 'sustainable_growth': True, 'consistency_score': 50.0, 'is_confirmed_leader': False}, 'classification': 'LEADER_EMERGING'}",LEADER_EMERGING,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.8789719250919785, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_MODERATE"", ""youtube_data"": {""symbol"": ""pha"", ""daily_videos"": [41, 21, 15, 17, 15, 14, 16], ""today_videos"": 41, ""avg_7d_videos"": 16.333333333333332, ""avg_views_per_video"": 32455, ""avg_likes_per_video"": 149, ""avg_comments_per_video"": 38, ""total_engagement"": 187, ""data_source"": ""simulation""}, ""telegram_data"": {""symbol"": ""PHALA"", ""mentions_today"": 132, ""mentions_7d_avg"": 56.714285714285715, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""simulation"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": true}",False,0.0,False,Other,0.388,weak,0.082,False,Sinal fraco: slope=0.0820,10_49m_range,1.7,1,1.42,1,0,0,0,20260510,0,6,False,False,SOCIAL_MODERATE,False,
paris-saint-germain-fan-token,psg,Paris Saint-Germain Fan Token,https://coin-images.coingecko.com/coins/images/11620/large/PSG.png?1741772294,1.087,17458752,945,21615039,13370210,1.14,1.055,-0.05703976466874505,-4.98714,-915842.4513000883,-4.98429,16065415.9143673,19890000.0,19890000.0,58.79,-98.16914,2021-04-27T04:13:36.909Z,0.600374,79.27751,2026-02-06T00:30:21.119Z,,2026-05-30T01:35:24.539Z,46.08582930512355,6.954860179437479,strong,0.9815,False,False,False,low,-5.12803,,False,False,0.765817052673639,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.8767396498512006, 'is_candidate': True}, 'medium_term': {'persistence_days': 4, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': True, 'sustainable_growth': True, 'consistency_score': 64.28571428571429, 'is_confirmed_leader': False}, 'classification': 'CANDIDATE_INITIAL'}",CANDIDATE_INITIAL,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.8956018509042705, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_MODERATE"", ""youtube_data"": {""symbol"": ""psg"", ""daily_videos"": [48, 20, 13, 22, 15, 17, 24], ""today_videos"": 48, ""avg_7d_videos"": 18.5, ""avg_views_per_video"": 40504, ""avg_likes_per_video"": 110, ""avg_comments_per_video"": 75, ""total_engagement"": 185, ""data_source"": ""simulation""}, ""telegram_data"": {""symbol"": ""Paris Saint-Germain Fan Token"", ""mentions_today"": 38, ""mentions_7d_avg"": 32.0, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""simulation"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": true}",False,0.0,False,Other,0.0,none,-0.0668,False,Ratio em queda — sem acumulação,10_49m_range,1.0,1,1.0,2,0,0,0,20260510,0,4,False,False,SOCIAL_MODERATE,False,
memecoin-2,meme,Memecoin,https://coin-images.coingecko.com/coins/images/32528/large/memecoin_%282%29.png?1698912168,0.00050751,32215225,657,34996488,52657240,0.0005126,0.0004749,2.684e-05,5.58295,1691869.0,5.54287,63516387916.66666,69000000000.0,69000000000.0,0.056324,-99.09616,2024-03-04T17:30:21.569Z,0.00046386,9.74717,2026-05-28T12:25:43.677Z,,2026-05-30T01:34:23.243Z,-10.362277521123458,1.7433624213528738,breakout,0.991,False,False,False,low,5.442060000000001,,False,False,1.6345451568319016,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.618593440568176, 'is_candidate': False}, 'medium_term': {'persistence_days': 1, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 7.142857142857142, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.7118539803576897, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_WEAK"", ""youtube_data"": {""symbol"": ""meme"", ""daily_videos"": [15, 10, 9, 11, 8, 5, 8], ""today_videos"": 15, ""avg_7d_videos"": 8.5, ""avg_views_per_video"": 19667, ""avg_likes_per_video"": 423, ""avg_comments_per_video"": 46, ""total_engagement"": 469, ""data_source"": ""simulation""}, ""telegram_data"": {""symbol"": ""Memecoin"", ""mentions_today"": 54, ""mentions_7d_avg"": 50.285714285714285, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""simulation"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": true}",False,0.0,False,Other,0.0,none,-0.0053,False,Ratio em queda — sem acumulação,10_49m_range,1.5,-1,0.5,3,0,0,0,20260503,0,1,False,False,SOCIAL_WEAK,False,
stargate-finance,stg,Stargate Finance,https://coin-images.coingecko.com/coins/images/24413/large/STG_LOGO.png?1696523595,0.181347,21280901,850,21280901,13385890,0.181721,0.151614,0.02860778,18.72984,3319458.0,18.48102,117653872.93025647,117653872.93025647,1000000000.0,4.14,-95.68276,2022-04-02T00:00:00.000Z,0.104476,71.1378,2025-12-31T19:01:22.813Z,,2026-05-30T01:35:25.394Z,-17.22361912689427,11.026313486869462,strong,0.9562,False,False,False,low,18.58895,,False,False,0.629009551804221,10_49m_range,True,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.35811866156217215, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,True,Other,0.306,weak,0.0031,False,Sinal fraco: slope=0.0031,10_49m_range,0.7,0,0.42,4,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False,
pocket-network,pokt,Pocket Network,https://coin-images.coingecko.com/coins/images/22506/large/POKT.jpg?1703257310,0.01013059,20574854,862,24048950,11540530,0.01207979,0.00957382,0.00049677,5.15648,1298357.0,6.73544,2011680128.050819,2351355446.249961,,3.11,-99.65928,2022-01-16T07:15:26.325Z,0.00883573,20.08589,2025-04-17T04:55:47.616Z,,2026-05-30T01:35:25.344Z,-13.567545152982866,-4.520092268043918,strong,0.9967,False,False,False,low,5.01559,,False,False,0.5609045877069164,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.3263935440479405, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),10_49m_range,0.5,0,0.3,5,0,0,0,20260512,0,0,False,False,NOT_APPLICABLE,False,
ondo-u-s-dollar-token,usdon,Ondo U.S. Dollar Token,https://coin-images.coingecko.com/coins/images/68688/large/usdon_160x160.png?1756268513,1.0,65984291,400,65984291,48898467,1.0,1.0,0.0,0.0,2134349.0,3.34276,65984290.95459262,65984290.95459262,,1.0,0.0,2025-08-27T08:45:01.644Z,1.0,0.0,2025-08-27T08:45:01.644Z,,2026-05-30T01:34:10.502Z,0.0,0.0,strong,0.0,False,False,False,low,-0.14089,,False,False,0.7410622476795272,50m_range,False,"{'short_term': {'has_spike': True, 'momentum_initial': 'low', 'volume_mc_ratio': 1.015152227742685, 'is_candidate': True}, 'medium_term': {'persistence_days': 3, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': True, 'sustainable_growth': True, 'consistency_score': 50.0, 'is_confirmed_leader': False}, 'classification': 'CANDIDATE_INITIAL'}",CANDIDATE_INITIAL,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.7867510676566796, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_WEAK"", ""youtube_data"": {""symbol"": ""usdon"", ""daily_videos"": [18, 12, 15, 6, 2, 14, 3], ""today_videos"": 18, ""avg_7d_videos"": 8.666666666666666, ""avg_views_per_video"": 26686, ""avg_likes_per_video"": 433, ""avg_comments_per_video"": 69, ""total_engagement"": 502, ""data_source"": ""simulation""}, ""telegram_data"": {""symbol"": ""Ondo U.S. Dollar Token"", ""mentions_today"": 25, ""mentions_7d_avg"": 13.0, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""simulation"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": true}",False,0.0,False,Other,0.521,moderate,0.0258,False,Possível acumulação: slope=0.0258,50m_range,1.0,-1,0.2,1,0,0,0,20260506,0,3,False,False,SOCIAL_WEAK,False,
degen-base,degen,Degen,https://coin-images.coingecko.com/coins/images/34515/large/android-chrome-512x512.png?1706198225,0.00088911,32839984,643,32839984,7684136,0.0010302,0.00088581,-0.000103988857948063,-10.47117,-3272312.714018628,-9.06149,36965730333.0,36965730333.0,,0.064543,-98.62468,2024-03-31T20:22:27.147Z,2.255e-05,3836.24207,2024-01-15T05:47:46.931Z,,2026-05-30T01:34:23.464Z,30.23265162361879,0.17897062625840593,early_accumulation,0.9862,False,False,False,low,-10.612060000000001,,False,False,0.23398720291702943,10_49m_range,True,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.5243676411048945, 'is_candidate': False}, 'medium_term': {'persistence_days': 1, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 14.285714285714285, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0473,False,Ratio em queda — sem acumulação,10_49m_range,0.2,0,0.12,6,0,0,0,20260514,0,1,False,False,NOT_APPLICABLE,False,
vethor-token,vtho,VeThor,https://coin-images.coingecko.com/coins/images/5230/large/VTHO_Circle_Crop__Reference_.png?1751980206,0.00054281,54351259,456,54356410,16810655,0.0005456,0.00046747,6.638e-05,13.93241,6537174.0,13.67207,100366844728.0,100376355998.0,,0.04671227,-98.84601,2018-08-29T02:40:46.956Z,0.00015238,253.76779,2020-03-16T10:14:24.544Z,,2026-05-30T01:34:08.823Z,-5.0697160393231,6.5643897527851225,early_accumulation,0.9884,False,False,False,low,13.79152,,False,False,0.3092965151000458,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.04308778112190941,False,Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),50m_range,0.0,0,0.0,2,0,0,0,20260529,0,0,False,False,NOT_APPLICABLE,False,
ordinals,ordi,ORDI,https://coin-images.coingecko.com/coins/images/30162/large/ordi.png?1696529082,3.32,69670618,382,69670618,20050053,3.5,3.25,-0.11963564196311616,-3.48017,-2643591.2213519663,-3.6557,21000000.0,21000000.0,,95.52,-96.53797,2024-03-05T01:45:22.816Z,2.12,55.9118,2026-03-29T22:55:07.807Z,,2026-05-30T01:34:10.492Z,-22.475888070667896,-16.790213353743678,early_accumulation,0.9652,False,False,False,low,-3.6210600000000004,,False,False,0.2877834814096238,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.33250529543909835, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0063,False,Ratio em queda — sem acumulação,50m_range,0.0,0,0.0,3,0,0,0,20260512,0,0,False,False,NOT_APPLICABLE,False,
orca,orca,Orca,https://coin-images.coingecko.com/coins/images/17547/large/Orca_Logo.png?1696517083,1.31,79742536,339,98367994,21683240,1.39,1.25,0.04928817,3.91105,3168248.0,4.13748,60798787.64822,74999555.985359,100000000.0,20.33,-93.55695,2021-10-02T20:14:11.766Z,0.351125,273.09034,2022-06-19T19:34:08.830Z,,2026-05-30T01:34:06.776Z,-19.825612790166105,-5.639560613780579,early_accumulation,0.9356,False,False,False,low,3.7701599999999997,,False,False,0.271915605994773,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0665,False,Ratio em queda — sem acumulação,50m_range,0.0,0,0.0,4,0,0,0,20260512,0,0,False,False,NOT_APPLICABLE,False,
