id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,suspected_wash_trading,momentum,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,price_resilience,timeframe_analysis,timeframe_classification,social_analysis,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong
memecoin-2,meme,Memecoin,https://coin-images.coingecko.com/coins/images/32528/large/memecoin_%282%29.png?1698912168,0.00063143,40120738,588,43741619,12394807,0.00063514,0.00060054,2.502e-05,4.12551,1741810.0,4.53845,63288258966.66666,69000000000.0,69000000000.0,0.056324,-98.87721,2024-03-04T17:30:21.569Z,0.00048566,30.2131,2026-04-05T21:45:02.721Z,,2026-05-08T14:59:44.273Z,20.899208609080965,10.994001740470187,early_accumulation,False,low,False,-0.07878,,4.20429,,True,True,True,0.30893766211379264,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.0359,False,Ratio em queda — sem acumulação,50m_range,0.4,0,0.24,6,0,0,0,20260503,0,0,False,False,NOT_APPLICABLE,True
aixbt,aixbt,aixbt,https://coin-images.coingecko.com/coins/images/51784/large/3.png?1731981138,0.03450756,34366563,652,34551120,13961276,0.03568926,0.03281913,0.00124872,3.75454,1254849.0,3.78974,994658423.1010208,1000000000.0,1000000000.0,0.942578,-96.33689,2025-01-16T11:56:02.862Z,0.01797721,92.06376,2026-02-23T01:30:43.221Z,,2026-05-08T14:59:57.869Z,32.09333299079039,13.130223243686148,early_accumulation,False,low,False,-0.07878,,3.83332,,True,True,True,0.40624591990767306,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",AI,0.0,none,-0.0832,False,Ratio em queda — sem acumulação,50m_range,0.2,0,0.12,7,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,True
uma,uma,UMA,https://coin-images.coingecko.com/coins/images/10951/large/UMA.png?1696510900,0.494382,45059840,535,63594906,13811064,0.514992,0.476478,0.01568438,3.27647,1454518.0,3.33564,91132324.51691411,128619000.4046634,,41.56,-98.81503,2021-02-04T11:27:11.433Z,0.303625,62.18124,2020-04-29T17:00:41.760Z,,2026-05-08T15:00:00.809Z,18.585278382712296,8.819218779535936,early_accumulation,False,low,False,-0.07878,,3.3552500000000003,,True,True,True,0.30650494986222765,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),50m_range,0.2,0,0.12,8,0,0,0,20260507,0,0,False,False,NOT_APPLICABLE,True
goatseus-maximus,goat,Goatseus Maximus,https://coin-images.coingecko.com/coins/images/50717/large/GOAT_LOGO_NEW.jpg?1731292759,0.01956516,19562364,917,19562364,6044250,0.02017165,0.01854799,0.00063155,3.33562,607815.0,3.2067,999980106.779565,999980106.779565,1000000000.0,1.35,-98.55218,2024-11-17T13:01:21.319Z,0.01393137,40.39128,2026-04-13T05:20:44.631Z,,2026-05-08T15:02:14.626Z,14.05296790647181,11.002721674823645,early_accumulation,False,low,False,-0.07878,,3.4144,,True,True,True,0.3089733940131162,10m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.448,moderate,0.0187,False,Possível acumulação: slope=0.0187,10m_range,0.2,0,0.12,6,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,True
celer-network,celr,Celer Network,https://coin-images.coingecko.com/coins/images/4379/large/Celr.png?1696504978,0.00294872,16651757,993,29495863,3738271,0.00300738,0.00284987,8.47e-05,2.95749,452634.0,2.79419,5645454935.82688,10000000000.0,10000000000.0,0.194843,-98.48664,2021-09-26T06:49:04.741Z,0.00095575,208.52182,2020-03-13T02:24:17.287Z,"{'times': -0.5598928290928535, 'currency': 'usd', 'percentage': -55.98928290928536}",2026-05-08T15:02:04.298Z,19.94693906345739,3.896255347019402,early_accumulation,False,low,False,-0.07878,,3.03627,,True,True,True,0.22449709060731549,10m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",L2,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),10m_range,0.2,0,0.12,7,0,0,0,20260508,0,0,False,False,NOT_APPLICABLE,True
renzo,rez,Renzo,https://coin-images.coingecko.com/coins/images/37327/large/renzo_200x200.png?1714025012,0.00583669,49795373,502,57367458,20777323,0.00635256,0.00584707,-7.9012923760583e-05,-1.33565,-600654.7637257427,-1.19187,8519169931.02607,9814629224.12962,10000000000.0,0.278213,-97.89085,2024-04-30T11:50:54.665Z,0.00265163,121.29551,2026-02-28T10:11:14.983Z,,2026-05-08T14:59:44.130Z,64.92292864019834,33.516523849664715,early_accumulation,False,low,False,-0.07878,,-1.25687,,True,False,False,0.41725408904959904,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",DeFi,0.0,none,-0.0773,False,Ratio em queda — sem acumulação,50m_range,0.0,0,0.0,9,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
zerebro,zerebro,Zerebro,https://coin-images.coingecko.com/coins/images/51289/large/zerebro_2.png?1730588883,0.03579415,35772609,635,35772609,11628371,0.03915256,0.03544934,-0.003144233437806884,-8.07489,-3049827.532911293,-7.85584,999949995.248637,999949995.248637,1000000000.0,0.784071,-95.41033,2025-01-02T07:41:04.150Z,0.00580864,519.5304,2024-11-03T08:34:49.111Z,,2026-05-08T14:59:45.882Z,353.5263928231991,13.72061867681479,early_accumulation,False,low,False,-0.07878,,-7.99611,,True,False,False,0.3250635423320675,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.0174,False,Ratio em queda — sem acumulação,50m_range,0.0,0,0.0,10,0,0,0,20260504,0,0,False,False,NOT_APPLICABLE,False
snek,snek,Snek,https://coin-images.coingecko.com/coins/images/30496/large/Snek-Square-BG_200x200.png?1768638178,0.00051167,38230109,602,38501707,10928809,0.00051161,0.00048581,6.19856e-07,0.12129,47343.0,0.12399,74714279612.0,75245073429.0,76715880000.0,0.00895508,-94.31253,2024-12-05T11:50:53.994Z,0.00013847,267.822,2023-10-20T02:25:36.411Z,,2026-05-08T14:59:43.147Z,20.68975235033909,10.639941186638218,early_accumulation,False,low,False,-0.07878,,0.20007,,True,False,True,0.28586915616693637,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.0,none,-0.0028,False,Ratio em queda — sem acumulação,50m_range,0.0,0,0.0,11,0,0,0,20260503,0,0,False,False,NOT_APPLICABLE,False
cyberconnect,cyber,CYBER,https://coin-images.coingecko.com/coins/images/31274/large/token.png?1715826754,0.571015,35815308,631,57163884,10185928,0.576055,0.560973,0.0058373,1.03283,404756.0,1.14304,62653733.76,100000000.0,100000000.0,15.79,-96.38775,2023-09-01T22:25:07.435Z,0.441088,29.29373,2026-02-06T00:30:51.267Z,,2026-05-08T14:59:43.234Z,10.668536718678968,8.366895108032498,early_accumulation,False,low,False,-0.07878,,1.11161,,True,False,True,0.28440151903761374,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),50m_range,0.0,0,0.0,12,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False
constitutiondao,people,ConstitutionDAO,https://coin-images.coingecko.com/coins/images/20612/large/GN_UVm3d_400x400.jpg?1696520017,0.0084155,42637004,552,42637004,11968440,0.00862441,0.00817699,0.00015283,1.84969,724158.0,1.72777,5066444892.014003,5066444892.014003,,0.185022,-95.45591,2021-12-23T05:59:19.861Z,0.0009194,814.46267,2021-11-21T11:33:21.508Z,,2026-05-08T15:00:01.712Z,22.648188233989764,10.604062958336181,early_accumulation,False,low,False,-0.07878,,1.9284700000000001,,True,False,True,0.28070546420194065,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.0096,False,Ratio em queda — sem acumulação,50m_range,0.0,0,0.0,13,0,0,0,20260503,0,0,False,False,NOT_APPLICABLE,False
