id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,suspected_wash_trading,momentum,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,price_resilience,timeframe_analysis,timeframe_classification,social_analysis,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong
stepn,gmt,GMT,https://coin-images.coingecko.com/coins/images/23597/large/token-gmt-200x200.png?1703153841,0.01235208,38269226,585,62406733.0,118803101,0.013875,0.01006989,0.00175584,16.57037,5309521.0,16.10913,3111400155.0,5073850155.102167,6000000000.0,4.11,-99.70147,2022-04-28T03:29:53.820Z,0.00938775,30.61496,2026-03-29T22:55:08.566Z,,2026-05-23T11:08:43.706Z,9.606702186836214,11.43465732755297,breakout,False,low,False,-3.29799,,19.86836,,True,True,True,3.104403026076357,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.009,False,Ratio em queda — sem acumulação,10_49m_range,1.9,0,1.14,1,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,True
metal,mtl,Metal DAO,https://coin-images.coingecko.com/coins/images/763/large/Metal.png?1696501916,0.323164,29349957,701,29349957.0,52099273,0.365376,0.289323,0.02341856,7.81282,2237673.0,8.25335,90635915.0,90635915.0,,17.03,-98.07513,2018-06-21T04:04:27.124Z,0.117252,179.5316,2020-03-13T02:29:54.468Z,"{'times': 0.7953537379692078, 'currency': 'usd', 'percentage': 79.53537379692078}",2026-05-23T11:08:47.647Z,11.03750696217026,8.699074749743545,breakout,False,low,False,-3.29799,,11.11081,,True,True,True,1.7751055989622062,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),10_49m_range,1.9,0,1.14,2,0,0,0,20260523,0,0,False,False,NOT_APPLICABLE,True
bonfida,fida,Bonfida,https://coin-images.coingecko.com/coins/images/13395/large/bonfida.png?1696513157,0.03567463,35390867,614,35390867.0,66121019,0.04264343,0.03131692,-0.006968803700333932,-16.34203,-7077320.393664263,-16.66499,990910775.601922,990910775.601922,1000000000.0,18.77,-99.80753,2021-11-03T20:34:33.492Z,0.01221703,195.77679,2026-03-29T22:50:36.078Z,,2026-05-23T11:08:50.389Z,118.29622781420667,121.15390664200491,breakout,False,low,False,-3.29799,,-13.04404,,True,False,False,1.8683074082361417,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.793,strong,0.6681,True,"Acumulação silenciosa: slope=0.6681, consistência=57%",10_49m_range,1.5,0,0.9,3,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False
ondo-u-s-dollar-token,usdon,Ondo U.S. Dollar Token,https://coin-images.coingecko.com/coins/images/68688/large/usdon_160x160.png?1756268513,1.0,60909431,425,60909431.0,46754219,1.0,1.0,0.0,0.0,20041893.0,49.04111,60909430.60159226,60909430.60159226,,1.0,0.0,2025-08-27T08:45:01.644Z,1.0,0.0,2025-08-27T08:45:01.644Z,,2026-05-23T11:08:26.512Z,0.0,0.0,strong,False,low,False,-3.29799,,3.29799,,True,True,False,0.7676022946265908,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.477,moderate,0.025,False,Possível acumulação: slope=0.0250,50m_range,1.2,0,0.72,1,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,True
metronome-synth-usd,msusd,Metronome Synth USD,https://coin-images.coingecko.com/coins/images/67504/large/metronome_msusd.png?1753015705,0.994699,34803220,626,34803220.0,26822067,1.001,0.992616,-0.004026387687401933,-0.40315,8610197.0,32.8721,34989666.98493568,34989666.98493568,,3.43,-71.0194,2025-10-16T10:48:38.387Z,0.427862,132.44552,2025-10-09T03:53:06.683Z,,2026-05-23T11:08:46.741Z,-0.1208017941679263,-0.03520693318341473,strong,False,low,False,-3.29799,,2.89484,,True,True,False,0.7706777418871013,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10_49m_range,1.2,0,0.72,4,0,0,0,20260518,0,0,False,False,NOT_APPLICABLE,True
paris-saint-germain-fan-token,psg,Paris Saint-Germain Fan Token,https://coin-images.coingecko.com/coins/images/11620/large/PSG.png?1741772294,0.996584,15843564,988,19800205.0,14912981,1.11,0.987196,-0.04260483038264251,-4.09982,-706605.5330785029,-4.26948,15915415.9143673,19890000.0,19890000.0,58.79,-98.30508,2021-04-27T04:13:36.909Z,0.600374,65.96696,2026-02-06T00:30:21.119Z,,2026-05-23T11:10:00.968Z,20.705252317511277,-8.355662525099987,strong,False,low,False,-3.29799,,-0.8018300000000003,,True,False,False,0.9412642887673506,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.1569,False,Ratio em queda — sem acumulação,10_49m_range,1.0,0,0.6,5,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False
lorenzo-protocol,bank,Lorenzo Protocol,https://coin-images.coingecko.com/coins/images/55250/large/lorenzo.jpg?1744963693,0.03985668,16943361,963,16943361.0,8850249,0.04059791,0.03752826,0.00204095,5.39709,867395.0,5.3956,425250000.0,425250000.0,2100000000.0,0.230688,-82.74733,2025-10-18T05:15:39.862Z,0.02585786,53.91752,2026-04-03T04:00:51.532Z,,2026-05-23T11:09:48.366Z,6.230056924769949,7.024542189079633,strong,False,low,False,-3.29799,,8.69508,,True,True,True,0.5223431761856459,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.0306,False,Ratio em queda — sem acumulação,10_49m_range,0.9,0,0.54,6,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,True
steem,steem,Steem,https://coin-images.coingecko.com/coins/images/398/large/steem.png?1696501691,0.052903,29033949,710,29033965.0,19858519,0.06039,0.051799,-0.000455461063274487,-0.85358,-224075.75530123338,-0.76586,548175476.773,548175765.686,,8.19,-99.35337,2018-01-03T00:00:00.000Z,0.04499196,17.7281,2026-02-06T00:26:22.394Z,,2026-05-23T11:08:48.246Z,-7.978290454834015,-5.826347716086916,strong,False,low,False,-3.29799,,2.44441,,True,True,False,0.6839758174129189,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Social,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10_49m_range,0.7,0,0.42,7,0,0,0,20260507,0,0,False,False,NOT_APPLICABLE,True
dodo,dodo,DODO,https://coin-images.coingecko.com/coins/images/12651/large/dodo_logo.png?1696512458,0.01779395,17876416,936,17876416.0,11598367,0.0188981,0.01738538,-0.001104149255793916,-5.84265,-948657.747364603,-5.03933,1000000000.0,1000000000.0,1000000000.0,8.38,-99.78543,2021-02-20T09:19:28.624Z,0.0129848,38.42793,2026-02-06T00:30:52.016Z,,2026-05-23T11:09:44.951Z,-3.3230909701357496,-5.64786374433717,strong,False,low,False,-3.29799,,-2.54466,,True,False,False,0.6488082958015745,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.1522,False,Ratio em queda — sem acumulação,10_49m_range,0.5,0,0.3,8,0,0,0,20260514,0,0,False,False,NOT_APPLICABLE,False
test-3,tst,Test,https://coin-images.coingecko.com/coins/images/54274/large/Test.png?1738997629,0.01733804,16335027,977,16335027.0,9574406,0.01848898,0.01680056,-0.000735977469420019,-4.07202,-681839.7074221503,-4.00685,942230397.1986927,942230397.1986927,1000000000.0,0.511293,-96.60755,2025-02-09T09:09:52.387Z,0.00783528,121.37508,2026-03-29T22:56:25.457Z,,2026-05-23T11:09:48.175Z,58.74743028159198,-6.661618220668316,strong,False,low,False,-3.29799,,-0.7740300000000002,,True,False,False,0.586127344631876,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.649,strong,0.029,True,"Acumulação silenciosa: slope=0.0290, consistência=50%",10_49m_range,0.5,0,0.3,9,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False
