id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,fdv_warning,drawdown_pct,price_resilience,is_gold,suspected_wash_trading,momentum,rs_24h,rs_7d,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,timeframe_analysis,timeframe_classification,social_analysis,seller_exhaustion,volatility_14d,ratio_surge,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong
g-token,g,Gravity (by Galxe),https://coin-images.coingecko.com/coins/images/39200/large/gravity.jpg?1721020647,0.00309691,22396786,755,37159212,22576802,0.00346067,0.00309461,-0.000117376219971348,-3.6517,-838373.0476217158,-3.60821,7232700000.0,12000000000.0,12000000000.0,0.091691,-96.60828,2024-07-18T08:44:41.666Z,0.00255749,21.6004,2026-06-23T06:35:30.638Z,,2026-06-27T21:01:11.791Z,-7.078381690534544,16.565855458399213,breakout,True,0.9662,False,False,False,low,-4.65384,,False,False,1.0080375818208915,10_49m_range,False,"{'short_term': {'has_spike': True, 'momentum_initial': 'low', 'volume_mc_ratio': 2.6116929378437757, 'is_candidate': True}, 'medium_term': {'persistence_days': 5, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': True}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 42.857142857142854, 'is_confirmed_leader': False}, 'classification': 'LEADER_EMERGING'}",LEADER_EMERGING,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 1.1266065387038702, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_STRONG"", ""youtube_data"": {""symbol"": ""g"", ""daily_videos"": [44, 18, 17, 7, 7, 8, 9], ""today_videos"": 44, ""avg_7d_videos"": 11.0, ""avg_views_per_video"": 46803, ""avg_likes_per_video"": 280, ""avg_comments_per_video"": 31, ""total_engagement"": 311, ""data_source"": ""simulation""}, ""telegram_data"": {""symbol"": ""Gravity (by Galxe)"", ""mentions_today"": 74, ""mentions_7d_avg"": 36.857142857142854, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""simulation"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": true}",False,0.0,False,Other,0.408,moderate,0.2407,False,Possível acumulação: slope=0.2407,10_49m_range,1.5,2,1.7,1,0,0,0,20260510,0,5,False,False,SOCIAL_STRONG,False
adventure-gold,agld,Adventure Gold,https://coin-images.coingecko.com/coins/images/18125/large/lpgblc4h_400x400.jpg?1696517628,0.21712,19025442,828,20200523,158911730,0.260789,0.196333,-0.003006009327802817,-1.36558,-314079.3340596482,-1.62403,87430001.0,92830001.0,96000000.0,7.7,-97.17477,2021-09-03T11:41:40.240Z,0.117529,85.15234,2026-06-25T13:56:03.279Z,,2026-06-27T21:01:07.803Z,0.7946114538209814,33.049697766948114,breakout,,0.9718,False,False,True,low,-2.3677200000000003,,False,False,8.352590704594405,10_49m_range,False,"{'short_term': {'has_spike': True, 'momentum_initial': 'low', 'volume_mc_ratio': 8.577144140668072, 'is_candidate': True}, 'medium_term': {'persistence_days': 1, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 21.428571428571427, 'is_confirmed_leader': False}, 'classification': 'CANDIDATE_INITIAL'}",CANDIDATE_INITIAL,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.944948701864311, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_MODERATE"", ""youtube_data"": {""symbol"": ""agld"", ""daily_videos"": [40, 18, 14, 18, 7, 10, 17], ""today_videos"": 40, ""avg_7d_videos"": 14.0, ""avg_views_per_video"": 11219, ""avg_likes_per_video"": 222, ""avg_comments_per_video"": 55, ""total_engagement"": 277, ""data_source"": ""simulation""}, ""telegram_data"": {""symbol"": ""Adventure Gold"", ""mentions_today"": 24, ""mentions_7d_avg"": 27.0, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""simulation"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": true}",False,0.0,False,Other,0.4,moderate,0.1687,False,Possível acumulação: slope=0.1687,10_49m_range,1.2,1,1.12,2,0,0,0,20260511,0,1,False,False,SOCIAL_MODERATE,False
atletico-madrid,atm,Atletico Madrid Fan Token,https://coin-images.coingecko.com/coins/images/11689/large/ATM.png?1741425591,2.18,18741828,834,21840548,17164877,2.41,1.77,0.357909,19.64504,3107520.0,19.87628,8581208.0,10000000.0,10000000.0,58.46,-96.26403,2021-05-16T13:28:09.717Z,0.752321,190.30896,2026-02-06T00:21:31.888Z,,2026-06-27T21:01:06.444Z,120.84150164923848,42.98980925127555,strong,,0.9627,False,False,False,low,18.6429,,False,False,0.9158592747729837,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.5481098791713512, 'is_candidate': False}, 'medium_term': {'persistence_days': 3, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': True}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 21.428571428571427, 'is_confirmed_leader': False}, 'classification': 'CANDIDATE_STRONG'}",CANDIDATE_STRONG,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 1.0497361324988255, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_MODERATE"", ""youtube_data"": {""symbol"": ""atm"", ""daily_videos"": [29, 8, 7, 11, 9, 7, 8], ""today_videos"": 29, ""avg_7d_videos"": 8.333333333333334, ""avg_views_per_video"": 18853, ""avg_likes_per_video"": 348, ""avg_comments_per_video"": 26, ""total_engagement"": 374, ""data_source"": ""simulation""}, ""telegram_data"": {""symbol"": ""Atletico Madrid Fan Token"", ""mentions_today"": 105, ""mentions_7d_avg"": 20.714285714285715, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""simulation"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": true}",False,0.0,False,Other,0.0,none,-1.1209,False,Ratio em queda — sem acumulação,10_49m_range,1.0,1,1.0,3,0,0,0,20260625,0,3,False,False,SOCIAL_MODERATE,False
synapse-2,syn,Synapse,https://coin-images.coingecko.com/coins/images/18024/large/synapse_social_icon.png?1696517540,0.296321,65133950,359,74331244,74095529,0.37643,0.278015,-0.027139483569279033,-8.39034,-5778908.021498531,-8.14931,219066529.0,250000000.0,250000000.0,4.92,-93.95118,2021-10-24T00:24:41.805Z,0.02738298,985.8022,2026-06-11T02:30:31.818Z,,2026-06-27T21:00:51.956Z,627.8511208213474,100.06236443584433,breakout,,0.9398,False,False,False,low,-9.28528,,False,False,1.1375869112805226,50m_range,False,"{'short_term': {'has_spike': True, 'momentum_initial': 'low', 'volume_mc_ratio': 1.1168952194910873, 'is_candidate': True}, 'medium_term': {'persistence_days': 7, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': True}, 'long_term': {'trend_clear': True, 'sustainable_growth': True, 'consistency_score': 64.28571428571429, 'is_confirmed_leader': True}, 'classification': 'LEADER_CONFIRMED'}",LEADER_CONFIRMED,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.808475657653469, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_LOW"", ""youtube_data"": {""symbol"": ""syn"", ""daily_videos"": [25, 7, 6, 16, 11, 17, 12], ""today_videos"": 25, ""avg_7d_videos"": 11.5, ""avg_views_per_video"": 38674, ""avg_likes_per_video"": 477, ""avg_comments_per_video"": 99, ""total_engagement"": 576, ""data_source"": ""simulation""}, ""telegram_data"": {""symbol"": ""Synapse"", ""mentions_today"": 111, ""mentions_7d_avg"": 41.142857142857146, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""simulation"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": true}",False,0.0,False,Other,0.0,none,-0.0946,False,Ratio em queda — sem acumulação,50m_range,1.5,0,0.9,1,0,0,0,20260619,0,7,True,False,SOCIAL_LOW,False
ark,ark,ARK,https://coin-images.coingecko.com/coins/images/613/large/ark.png?1696501811,0.109198,21563182,775,21563182,30544770,0.141677,0.105985,0.00227199,2.12482,440991.0,2.08781,197466312.0,197466312.0,,10.22,-98.93213,2018-01-10T00:00:00.000Z,0.0339403,221.61304,2017-03-22T00:00:00.000Z,"{'times': 9.91978583881199, 'currency': 'usd', 'percentage': 991.978583881199}",2026-06-27T21:01:14.626Z,-25.80724850188631,-6.221871118117491,breakout,,0.9893,False,False,False,low,1.1226800000000001,,False,False,1.4165242402535951,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),10_49m_range,1.5,0,0.9,4,0,0,0,20260627,0,0,False,False,NOT_APPLICABLE,False
biconomy,bico,Biconomy,https://coin-images.coingecko.com/coins/images/21061/large/biconomy_logo.jpg?1696520444,0.02104489,15101486,938,21031255,19227561,0.02149044,0.01912716,0.00143861,7.33751,1021048.0,7.25154,718049656.9789356,1000000000.0,1000000000.0,21.45,-99.90194,2021-12-02T02:18:45.254Z,0.01732508,21.39193,2026-06-06T04:45:48.988Z,,2026-06-27T21:01:08.232Z,-8.42368909303369,-65.5745928691386,breakout,True,0.999,False,False,False,low,6.33537,,False,False,1.2732231119507047,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.717,strong,0.2955,True,"Acumulação silenciosa: slope=0.2955, consistência=67%",10_49m_range,1.5,0,0.9,5,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False
celo,celo,Celo,https://coin-images.coingecko.com/coins/images/11090/large/InjXBNx9_400x400.jpg?1696511031,0.063122,37991320,530,63086385,24714006,0.066449,0.059174,0.00346018,5.79961,2062054.0,5.7392,602211072.0,1000000000.0,1000000000.0,9.82,-99.35766,2021-08-30T14:25:09.929Z,0.056378,11.89913,2026-06-06T05:06:02.169Z,,2026-06-27T21:01:06.085Z,-14.072763966893174,-2.561905362180387,strong,True,0.9936,False,False,False,low,4.797470000000001,,False,False,0.6505171707642693,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.4730955475606784, 'is_candidate': False}, 'medium_term': {'persistence_days': 2, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 14.285714285714285, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 1.0805805744099237, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_MODERATE"", ""youtube_data"": {""symbol"": ""celo"", ""daily_videos"": [54, 18, 15, 22, 13, 10, 10], ""today_videos"": 54, ""avg_7d_videos"": 14.666666666666666, ""avg_views_per_video"": 44959, ""avg_likes_per_video"": 89, ""avg_comments_per_video"": 16, ""total_engagement"": 105, ""data_source"": ""simulation""}, ""telegram_data"": {""symbol"": ""Celo"", ""mentions_today"": 95, ""mentions_7d_avg"": 38.42857142857143, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""simulation"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": true}",False,0.0,False,L1,0.568,moderate,0.0391,False,Possível acumulação: slope=0.0391,10_49m_range,0.5,1,0.7,6,0,0,0,20260523,0,2,False,False,SOCIAL_MODERATE,False
pundi-x-2,pundix,Pundi X,https://coin-images.coingecko.com/coins/images/14571/large/vDyefsXq_400x400.jpg?1696514252,0.094572,24436150,723,24436150,42879091,0.122159,0.088427,0.00219672,2.37803,566815.0,2.37466,258386541.0999244,258386541.0999244,,10.07,-99.06072,2021-03-31T06:39:32.892Z,0.074257,27.3585,2026-06-26T03:06:04.008Z,,2026-06-27T21:01:08.471Z,-29.02991740464954,-2.9509174854542417,breakout,,0.9906,False,False,False,low,1.3758899999999998,,False,False,1.7547400470205003,10_49m_range,True,"{'short_term': {'has_spike': True, 'momentum_initial': 'low', 'volume_mc_ratio': 1.3739431854412674, 'is_candidate': True}, 'medium_term': {'persistence_days': 2, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 14.285714285714285, 'is_confirmed_leader': False}, 'classification': 'CANDIDATE_INITIAL'}",CANDIDATE_INITIAL,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.7904043087697339, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_WEAK"", ""youtube_data"": {""symbol"": ""pundix"", ""daily_videos"": [30, 18, 12, 16, 7, 14, 19], ""today_videos"": 30, ""avg_7d_videos"": 14.333333333333334, ""avg_views_per_video"": 3312, ""avg_likes_per_video"": 130, ""avg_comments_per_video"": 29, ""total_engagement"": 159, ""data_source"": ""simulation""}, ""telegram_data"": {""symbol"": ""Pundi X"", ""mentions_today"": 26, ""mentions_7d_avg"": 49.42857142857143, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""simulation"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": true}",False,0.0,True,Other,0.65,strong,0.333,True,"Acumulação silenciosa: slope=0.3330, consistência=100%",10_49m_range,1.7,-1,0.62,7,0,0,0,20260531,0,2,False,False,SOCIAL_WEAK,False
civic,cvc,Civic,https://coin-images.coingecko.com/coins/images/788/large/civic-icon-black-padding.png?1750494984,0.0214269,17185077,877,21427777,16375646,0.02347319,0.02016698,0.00117216,5.7871,931233.0,5.72931,802000010.0,1000000000.0,,1.35,-98.41124,2018-01-03T00:00:00.000Z,0.01102541,94.35175,2020-03-13T02:15:34.328Z,"{'times': -0.7857309957087799, 'currency': 'usd', 'percentage': -78.57309957087799}",2026-06-27T21:01:15.687Z,-22.093075994150883,-1.7043606064254486,strong,,0.9841,False,False,False,low,4.78496,,False,False,0.9528991927123748,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.24585494015055967, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,True,Other,0.0,none,-0.0183,False,Ratio em queda — sem acumulação,10_49m_range,1.0,0,0.6,8,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False
milk-alliance,mlk,MiL.k,https://coin-images.coingecko.com/coins/images/11978/large/2.png?1696511836,0.03790968,21163022,783,37389142,15013761,0.04592188,0.03767635,-0.003552953517786235,-8.56905,-1974584.2631600723,-8.53409,558235159.0,986245419.0,1300000000.0,3.59,-98.94395,2021-04-05T15:10:26.250Z,0.03180854,19.18368,2026-06-25T16:46:05.047Z,,2026-06-27T21:01:06.188Z,-18.03181535583908,7.2046144666820355,strong,True,0.9894,False,False,False,low,-9.571190000000001,,False,False,0.7094336999696924,10_49m_range,True,"{'short_term': {'has_spike': True, 'momentum_initial': 'low', 'volume_mc_ratio': 2.3074958523741502, 'is_candidate': True}, 'medium_term': {'persistence_days': 2, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 14.285714285714285, 'is_confirmed_leader': False}, 'classification': 'CANDIDATE_INITIAL'}",CANDIDATE_INITIAL,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.6414035123119085, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_WEAK"", ""youtube_data"": {""symbol"": ""mlk"", ""daily_videos"": [15, 10, 15, 5, 13, 10, 7], ""today_videos"": 15, ""avg_7d_videos"": 10.0, ""avg_views_per_video"": 37041, ""avg_likes_per_video"": 101, ""avg_comments_per_video"": 11, ""total_engagement"": 112, ""data_source"": ""simulation""}, ""telegram_data"": {""symbol"": ""MiL.k"", ""mentions_today"": 52, ""mentions_7d_avg"": 43.57142857142857, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""simulation"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": true}",False,0.0,False,Other,0.367,weak,0.1615,False,Sinal fraco: slope=0.1615,10_49m_range,1.2,-1,0.32,9,0,0,0,20260529,0,2,False,False,SOCIAL_WEAK,False
