id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,drawdown_pct,price_resilience,is_gold,suspected_wash_trading,momentum,rs_24h,rs_7d,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,timeframe_analysis,timeframe_classification,social_analysis,seller_exhaustion,volatility_14d,ratio_surge,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong,fdv_warning
ondo-u-s-dollar-token,usdon,Ondo U.S. Dollar Token,https://coin-images.coingecko.com/coins/images/68688/large/usdon_160x160.png?1756268513,1.0,62550905,375,62550905,42652734,1.0,1.0,0.0,0.0,-893853.7407454625,-1.40887,62550905.45979569,62550905.45979569,,1.0,0.0,2025-08-27T08:45:01.644Z,1.0,0.0,2025-08-27T08:45:01.644Z,,2026-06-06T13:39:28.554Z,0.0,0.0,strong,0.0,False,False,False,low,1.70734,,False,False,0.6818883595688984,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.6580203435905524, 'is_candidate': False}, 'medium_term': {'persistence_days': 5, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': True}, 'long_term': {'trend_clear': True, 'sustainable_growth': True, 'consistency_score': 50.0, 'is_confirmed_leader': False}, 'classification': 'LEADER_EMERGING'}",LEADER_EMERGING,"{""should_analyze"": true, ""reason"": ""Valida\u00e7\u00e3o social completa"", ""youtube_velocity"": 0.8734772807983499, ""telegram_spike"": 0.0, ""combined_validation"": ""SOCIAL_MODERATE"", ""youtube_data"": {""symbol"": ""usdon"", ""daily_videos"": [24, 6, 10, 12, 9, 8, 13], ""today_videos"": 24, ""avg_7d_videos"": 9.666666666666666, ""avg_views_per_video"": 32488, ""avg_likes_per_video"": 214, ""avg_comments_per_video"": 31, ""total_engagement"": 245, ""data_source"": ""simulation""}, ""telegram_data"": {""symbol"": ""Ondo U.S. Dollar Token"", ""mentions_today"": 19, ""mentions_7d_avg"": 10.714285714285714, ""channels_analyzed"": 4, ""data_source"": ""simulation""}, ""youtube_data_quality"": ""simulation"", ""telegram_data_quality"": ""simulation"", ""data_quality_warning"": true, ""both_simulated"": true}",False,0.0,False,Other,0.32,weak,0.0137,False,Sinal fraco: slope=0.0137,50m_range,0.5,1,0.7,1,0,0,0,20260506,0,5,False,False,SOCIAL_MODERATE,False,
bio-protocol,bio,Bio Protocol,https://coin-images.coingecko.com/coins/images/53022/large/bio.jpg?1735011002,0.02608169,55945991,408,86591222,24272328,0.02705577,0.02454151,-0.000974072335177347,-3.60024,-2110933.3205088973,-3.63597,2145029070.25,3320000000.0,3320000000.0,0.888995,-97.07719,2025-01-03T13:16:10.915Z,0.01589991,63.42011,2026-03-29T22:55:40.552Z,,2026-06-06T13:39:27.089Z,-45.03564837748552,-15.255530985997332,early_accumulation,0.9707,False,False,False,low,-1.8928999999999998,,False,False,0.43385285640931803,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.43236828249709497, 'is_candidate': False}, 'medium_term': {'persistence_days': 3, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 21.428571428571427, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.05881049686813612,False,Other,0.235,weak,0.017,False,Sinal fraco: slope=0.0170,50m_range,0.0,0,0.0,2,0,0,0,20260513,0,3,False,False,NOT_APPLICABLE,False,True
ordinals,ordi,ORDI,https://coin-images.coingecko.com/coins/images/30162/large/ordi.png?1696529082,2.98,62720465,374,62720465,26518935,3.1,2.75,-0.11069046296796614,-3.57593,-2330689.32130906,-3.58286,21000000.0,21000000.0,,95.52,-96.88053,2024-03-05T01:45:22.816Z,2.12,40.48457,2026-03-29T22:55:07.807Z,,2026-06-06T13:39:25.745Z,-43.86126057977649,-12.022621676150564,early_accumulation,0.9688,False,False,False,low,-1.86859,,False,False,0.4228115177398637,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.42166569281548094, 'is_candidate': False}, 'medium_term': {'persistence_days': 3, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 21.428571428571427, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.08748453659349995,False,Other,0.551,moderate,0.0139,False,Possível acumulação: slope=0.0139,50m_range,0.0,0,0.0,3,0,0,0,20260512,0,3,False,False,NOT_APPLICABLE,False,
wormhole,w,Wormhole,https://coin-images.coingecko.com/coins/images/35087/large/W_Token_%283%29.png?1758122686,0.00951937,56763937,402,95243316,23052219,0.01006829,0.00888255,-0.000548925166664346,-5.45202,-3256486.2376961038,-5.42563,5959886650.0,10000000000.0,10000000000.0,1.66,-99.42514,2024-04-03T11:46:35.308Z,0.00888255,7.28486,2026-06-06T05:05:22.872Z,,2026-06-06T13:39:26.364Z,-34.79430929580577,-18.721710416886662,early_accumulation,0.9943,False,False,False,low,-3.74468,,False,False,0.40610676810524965,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.3963299716312357, 'is_candidate': False}, 'medium_term': {'persistence_days': 1, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 7.142857142857142, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.366,weak,0.0022,False,Sinal fraco: slope=0.0022,50m_range,0.0,0,0.0,4,0,0,0,20260509,0,1,False,False,NOT_APPLICABLE,False,True
comedian,ban,Comedian,https://coin-images.coingecko.com/coins/images/51100/large/ban.jpg?1730085215,0.061213,61206873,384,61206873,22118839,0.077319,0.058268,-0.013692649557215164,-18.27986,-18413993.999451272,-23.1271,999961859.27,999961859.27,1000000000.0,0.37799,-83.69331,2024-11-18T09:35:57.385Z,0.00929085,563.42331,2024-10-29T04:34:36.529Z,,2026-06-06T13:39:26.947Z,-10.75472606212152,-8.687686977103324,early_accumulation,0.8381,False,False,False,low,-16.57252,,False,False,0.36137835370220595,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.3578535964611854, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),50m_range,0.0,0,0.0,5,0,0,0,20260604,0,0,False,False,NOT_APPLICABLE,False,
degen-base,degen,Degen,https://coin-images.coingecko.com/coins/images/34515/large/android-chrome-512x512.png?1706198225,0.00160644,59394986,390,59394986,20087471,0.00165475,0.00112148,0.00033723,26.57061,12414561.0,26.42497,36965730333.0,36965730333.0,,0.064543,-97.46962,2024-03-31T20:22:27.147Z,2.255e-05,7142.06368,2024-01-15T05:47:46.931Z,,2026-06-06T13:39:26.090Z,123.22318494804429,86.40971421926676,early_accumulation,0.9751,False,False,False,low,28.277949999999997,,True,True,0.3382014603050837,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.3422444820443427, 'is_candidate': False}, 'medium_term': {'persistence_days': 2, 'volume_recovery_consistent': True, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 14.285714285714285, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0277,False,Ratio em queda — sem acumulação,50m_range,0.0,0,0.0,6,0,0,0,20260514,0,2,False,False,NOT_APPLICABLE,True,
orca,orca,Orca,https://coin-images.coingecko.com/coins/images/17547/large/Orca_Logo.png?1696517083,1.015,61687934,381,76096381,18492706,1.058,0.96766,-0.04259015114390685,-4.02582,-2743850.3513495177,-4.25854,60798786.258395,74999554.595534,100000000.0,20.33,-94.99437,2021-10-02T20:14:11.766Z,0.351125,189.85505,2022-06-19T19:34:08.830Z,,2026-06-06T13:39:24.975Z,-35.94716293831977,-20.48350381646755,early_accumulation,0.9501,False,False,False,low,-2.31848,,False,False,0.29977833266388854,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.29841676444772874, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0299,False,Ratio em queda — sem acumulação,50m_range,0.0,0,0.0,7,0,0,0,20260512,0,0,False,False,NOT_APPLICABLE,False,
turbo,turbo,Turbo,https://coin-images.coingecko.com/coins/images/30117/large/TurboMark-QL_200.png?1708079597,0.00084337,58190821,398,58190821,15620256,0.0008795,0.00078137,-3.6125879711207e-05,-4.10756,-2617086.5892301425,-4.30386,69000000000.0,69000000000.0,69000000000.0,0.01431669,-94.08026,2024-12-11T21:52:05.500Z,6.518e-05,1200.27912,2023-09-26T21:46:54.834Z,,2026-06-06T13:39:25.578Z,-35.862438724206584,-21.929618417685585,early_accumulation,0.9411,False,False,False,low,-2.40022,,False,False,0.2684316139825558,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.26768801054451963, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Meme,0.324,weak,0.0072,False,Sinal fraco: slope=0.0072,50m_range,0.0,0,0.0,8,0,0,0,20260513,0,0,False,False,NOT_APPLICABLE,False,
zencash,zen,Horizen,https://coin-images.coingecko.com/coins/images/691/large/Horizen2.0-logo_icon-on-yellow_%281%29.png?1751696763,4.07,73853838,327,85680464,18097257,4.37,3.96,-0.2967918081044294,-6.79494,-5135187.172675759,-6.50114,18101332.87278685,21000000.0,21000000.0,165.92,-97.52632,2021-05-08T06:00:30.087Z,3.26,25.72361,2019-10-17T00:00:00.000Z,,2026-06-06T13:39:28.363Z,-43.92432067189179,-29.146485540230348,early_accumulation,0.9755,False,False,False,low,-5.0876,,False,False,0.2450415237729419,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.24345731545879576, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.185,none,0.01,False,Dados insuficientes,50m_range,0.0,0,0.0,9,0,0,0,20260604,0,0,False,False,NOT_APPLICABLE,False,
zilliqa,zil,Zilliqa,https://coin-images.coingecko.com/coins/images/2687/large/Zilliqa-logo.png?1696503475,0.00303485,59202940,392,62119788,13488771,0.00320819,0.00289057,-0.00017333679621549,-5.40295,-3397926.1361506656,-5.42792,19513551525.0,20474957557.40658,21000000000.0,0.255376,-98.80942,2021-05-06T17:33:45.940Z,0.00239616,26.88827,2020-03-13T02:22:55.161Z,"{'times': -0.7702584401596053, 'currency': 'eth', 'percentage': -77.02584401596053}",2026-06-06T13:39:25.202Z,-29.38252017308835,-19.858665007749394,early_accumulation,0.9881,False,False,False,low,-3.6956099999999994,,False,False,0.22783954648198215,50m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0.22413711209278675, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0332,False,Ratio em queda — sem acumulação,50m_range,0.0,0,0.0,10,0,0,0,20260531,0,0,False,False,NOT_APPLICABLE,False,
