id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,drawdown_pct,price_resilience,is_gold,suspected_wash_trading,momentum,rs_24h,rs_7d,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,timeframe_analysis,timeframe_classification,social_analysis,seller_exhaustion,volatility_14d,ratio_surge,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong,fdv_warning
xai-blockchain,xai,Xai,https://coin-images.coingecko.com/coins/images/34258/large/round_icon_2048_px.png?1719523838,0.00804756,16689739,903,17766381,6159339,0.00804931,0.00759183,0.00034394,4.46465,724006.0,4.53475,2073772459.2173038,2207549837.517926,2500000000.0,1.59,-99.49386,2024-02-25T16:20:31.509Z,0.00728072,10.51744,2026-06-06T05:05:22.703Z,,2026-06-20T12:23:43.550Z,-22.216754897289725,-0.3179677730878198,early_accumulation,0.9949,False,False,False,low,2.5757399999999997,,False,False,0.3690494500842703,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.077,none,0.003,False,"Spike detectado — possível pump, não acumulação gradual",10_49m_range,0.0,0,0.0,14,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False,
metamask-usd,musd,MetaMask USD,https://coin-images.coingecko.com/coins/images/68451/large/MetaMask-mUSD-Icon-200x200.png?1755878384,0.999627,36167738,566,36167738,12995763,1.003,0.996884,0.001338,0.13403,-945659.762961939,-2.54803,36181225.469258,36181225.469258,,1.26,-20.67746,2026-05-17T23:15:47.956Z,0.979806,2.02297,2025-09-03T00:00:00.000Z,,2026-06-20T12:22:45.217Z,-0.006205346691921516,-0.01527554329320327,early_accumulation,0.2066,False,False,False,low,-1.75488,,False,False,0.3593192087379089,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),10_49m_range,0.0,0,0.0,15,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False,
mask-network,mask,Mask Network,https://coin-images.coingecko.com/coins/images/14051/large/Mask_Network.jpg?1696513776,0.392275,39222752,536,39222752,13947266,0.402242,0.358249,0.03333843,9.2881,3331597.0,9.2825,100000000.0,100000000.0,100000000.0,41.45,-99.05395,2021-02-24T17:42:44.637Z,0.332423,17.95081,2026-06-06T05:05:21.246Z,,2026-06-20T12:22:41.873Z,-14.549083809914437,8.076284746576196,early_accumulation,0.9905,False,False,False,low,7.39919,,False,False,0.3555912139974268,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0063,False,Ratio em queda — sem acumulação,10_49m_range,0.0,0,0.0,16,0,0,0,20260516,0,0,False,False,NOT_APPLICABLE,False,
altlayer,alt,AltLayer,https://coin-images.coingecko.com/coins/images/34608/large/Logomark_200x200.png?1715107868,0.00656824,42049816,505,65661870,13932580,0.00740238,0.00652252,-0.000504377793630151,-7.13142,-3272670.235048026,-7.22085,6403993052.0,10000000000.0,10000000000.0,0.676743,-99.02954,2024-03-28T23:20:10.066Z,0.00540577,21.49086,2026-06-06T04:40:43.950Z,,2026-06-20T12:22:44.733Z,-11.694829251893378,4.05974512383261,early_accumulation,0.9903,False,False,False,low,-9.020330000000001,,False,False,0.3313351002534708,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0319,False,Ratio em queda — sem acumulação,10_49m_range,0.0,0,0.0,17,0,0,0,20260520,0,0,False,False,NOT_APPLICABLE,False,True
memecoin-2,meme,Memecoin,https://coin-images.coingecko.com/coins/images/32528/large/memecoin_%282%29.png?1698912168,0.00054127,34382188,591,37350533,10729025,0.00057444,0.00053815,-1.3189638013e-07,-0.02436,20774.0,0.06046,63516387916.66666,69000000000.0,69000000000.0,0.056324,-99.03895,2024-03-04T17:30:21.569Z,0.00046386,16.69461,2026-05-28T12:25:43.677Z,,2026-06-20T12:22:43.233Z,4.761718861751753,-3.1692481579528904,early_accumulation,0.9904,False,False,False,low,-1.91327,,False,False,0.3120518391674201,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.1838,False,Ratio em queda — sem acumulação,10_49m_range,0.0,0,0.0,18,0,0,0,20260503,0,0,False,False,NOT_APPLICABLE,False,
paxos-standard,usdp,Pax Dollar,https://coin-images.coingecko.com/coins/images/6013/large/Pax_Dollar.png?1696506427,0.999365,31933754,626,31933754,9896319,0.999637,0.99894,2.907e-05,0.00291,-4636.438101284206,-0.01452,31954027.03052443,31954027.03052443,,1.18,-15.63796,2024-04-16T16:20:21.365Z,0.863529,15.72993,2021-05-19T13:14:42.046Z,"{'times': -0.0006345543107801, 'currency': 'usd', 'percentage': -0.06345543107801}",2026-06-20T12:22:44.785Z,0.007442403708191535,-0.015957026406044187,early_accumulation,0.1531,False,False,False,low,-1.8860000000000001,,False,False,0.3099015230091645,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.179,none,0.0072,False,Dados insuficientes,10_49m_range,0.0,0,0.0,19,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False,
bonfida,fida,Bonfida,https://coin-images.coingecko.com/coins/images/13395/large/bonfida.png?1696513157,0.02235315,22156071,775,22156071,6474678,0.02365244,0.02210855,0.0001188,0.5343,145064.0,0.65905,990910741.065922,990910741.065922,1000000000.0,18.77,-99.88091,2021-11-03T20:34:33.492Z,0.01221703,83.00486,2026-03-29T22:50:36.078Z,,2026-06-20T12:23:42.071Z,-33.262123269808356,-1.8495244145522456,early_accumulation,0.9988,False,False,False,low,-1.35461,,False,False,0.29223042298429175,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0593,False,Ratio em queda — sem acumulação,10_49m_range,0.0,0,0.0,20,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False,
secret,scrt,Secret,https://coin-images.coingecko.com/coins/images/11871/large/scrt_200.png?1733344413,0.056619,19432897,839,20285528,5521437,0.057591,0.055312,0.00018305,0.32434,122392.0,0.63381,343421895.262664,358489759.757303,,10.38,-99.45511,2021-10-28T12:44:49.785Z,0.055312,2.30357,2026-06-20T03:15:42.138Z,,2026-06-20T12:23:41.967Z,-31.029472457129646,-5.22069246014562,early_accumulation,0.9945,False,False,False,low,-1.56457,,False,False,0.2841283520413863,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Privacy,0.0,none,-0.0004,False,Ratio em queda — sem acumulação,10_49m_range,0.0,0,0.0,21,0,0,0,20260604,0,0,False,False,NOT_APPLICABLE,False,
popcat,popcat,Popcat,https://coin-images.coingecko.com/coins/images/33760/large/image.jpg?1702964227,0.04292694,42053609,506,42053609,11886549,0.04322967,0.04103106,0.00186758,4.54848,1850715.0,4.60344,979978669.96,979978669.96,979978694.0,2.05,-97.91131,2024-11-17T15:50:59.669Z,0.00379728,1030.20406,2024-01-05T15:34:24.842Z,,2026-06-20T12:22:47.691Z,-24.239433561105795,4.689152121084386,early_accumulation,0.9791,False,False,False,low,2.6595699999999995,,False,False,0.28265229269621067,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Meme,0.347,weak,0.0044,False,Sinal fraco: slope=0.0044,10_49m_range,0.0,0,0.0,22,0,0,0,20260509,0,0,False,False,NOT_APPLICABLE,False,
book-of-meme,bome,BOOK OF MEME,https://coin-images.coingecko.com/coins/images/36071/large/bome.png?1710407255,0.00043331,29915877,645,29915877,8390375,0.00044188,0.00041982,1.187e-05,2.81565,839545.0,2.88738,68999659569.0,68999659569.0,68999659569.0,0.02688878,-98.38807,2024-03-16T13:51:17.648Z,5.848e-05,641.12389,2024-03-14T10:17:29.365Z,,2026-06-20T12:22:43.322Z,-27.732358448138832,-1.626592774332378,early_accumulation,0.9839,False,False,False,low,0.9267400000000001,,False,False,0.2804656203125852,10_49m_range,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Meme,0.0,none,-0.0005,False,Ratio em queda — sem acumulação,10_49m_range,0.0,0,0.0,23,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False,
