symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
THREE,three.ws,FeMbDoX7R1Psc4GEcvJdsbNbZA3bfztcyDCatJVJpump,solana,0.003174,-23.33,3174154.0,262281.21,1003317.11,2428,1677,0.59,44.4,https://dexscreener.com/solana/cnk82s8exdsk9nwqq55kd9wcxoa22nwtchzjcbdu8lda,2026-06-03T07:17:02.831393,dexscreener,16.335755029999998
PROPHECY,Prophecy,GFbmpE8dNDHmKjoZyTQXmjN74F1eoXE7M5smzU8ppump,solana,0.0001947,455.0,194793.0,34297.9,841866.16,9967,5615,0.64,5.1,https://dexscreener.com/solana/eqrmhwmtjhfmdoocpjah7n1k6jbepvsqnymfy3nyazke,2026-06-03T07:17:02.831792,dexscreener,14.74939778
MAMO,Mamo,0x7300B37DfdfAb110d83290A29DfB31B1740219fE,base,0.009549,-3.57,5662030.0,382519.61,25339.44,229,119,0.66,,https://dexscreener.com/base/0xe2b3aa806e56603a244bfc111c9474f7dedd03db,2026-06-03T07:17:05.281098,dexscreener,14.69050967
NEAN,NEANDERTHAL,9gnq7qkXgKAsTwFCLrX76PvtYtRtrNaBYEVBBP7gjupx,solana,0.0004091,402.0,409153.0,67203.36,648308.65,5581,3689,0.6,6.7,https://dexscreener.com/solana/hdh5jvfuktswc5czwr7zdcatcqlpxkunxqeb4ekxksxq,2026-06-03T07:17:02.831489,dexscreener,11.1945196
BERRIES,Berries,AKUYQxitb6GqqJnoSbwgzJJphRW5emgn2ykEiPpKpump,solana,0.0003583,-19.43,358305.0,48873.36,603509.2,4042,3548,0.53,53.7,https://dexscreener.com/solana/4vzbs2q6hfxnjyc58wc21qrgd48nfgvjzmcn7rgczugx,2026-06-03T07:17:02.831930,dexscreener,6.186174
