symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
AVAJAK,AVAJAK,HnkB6cP2fEZE6KwdHwLEdEEDT8J5kUGPL1wFRqd4pump,solana,0.001013,3093.0,1013143.0,81578.2,2053901.81,29753,8323,0.78,7.9,https://dexscreener.com/solana/cw3k643xazzflhtuygkdq1zx2etettnu4bus73whazc5,2026-07-09T08:37:36.889873,dexscreener,33.90488748
EVERMEADOW,EVERMEADOW,31mMFCFe3V5tx319s5kNfnPrYCzc8SuxPofGcyfepump,solana,0.0003756,965.0,375663.0,47631.93,1247123.83,12538,8976,0.58,4.3,https://dexscreener.com/solana/afzmalhphzyx6yrmjhhdzv5fsvky5a4qox55mqxicmfi,2026-07-09T08:37:36.889774,dexscreener,14.441469589999997
DARK,Dark Arena,3LgNCFW7KjV34TePFih6wRtcWb7mSSByPLsRMxCPdArK,solana,0.0005503,10.97,550357.0,91894.6,51328.32,472,241,0.66,2.7,https://dexscreener.com/solana/dymkfevepticznbnsmtnvrjrzinoxyzujdblzgtxqdfb,2026-07-09T08:37:36.889692,dexscreener,10.539045560000002
MAMO,Mamo,0x7300B37DfdfAb110d83290A29DfB31B1740219fE,base,0.008756,-1.42,5233331.0,353495.88,11939.57,211,157,0.57,,https://dexscreener.com/base/0xe2b3aa806e56603a244bfc111c9474f7dedd03db,2026-07-09T08:37:39.035189,dexscreener,8.522954759999996
ANSEMWIFE,The Black Queen,8B3UJbbPWfg2DLF7iWzm9WnXH9y5jhYUUoZaLhqvpump,solana,0.0003101,-46.26,310155.0,48922.41,791520.79,8986,7961,0.53,44.9,https://dexscreener.com/solana/3nwzfjn3s1he8cgqqed7s5jtrecclstdkhrvljvf7uwp,2026-07-09T08:37:36.889728,dexscreener,7.691002470000001
OPOS,Only Possible On Solana,DvnY3MgpmpWeZTLJSsoCsk3pwpYJ79bjNgxreBttpump,solana,0.0002358,638.0,235866.0,36687.47,304094.82,3053,2133,0.59,0.8,https://dexscreener.com/solana/hwhsktrmfkdpjrc114hkayz4lkww1lrskjop9ai83ghn,2026-07-09T08:37:36.889608,dexscreener,7.358070609999998
