symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
MAMO,Mamo,0x7300B37DfdfAb110d83290A29DfB31B1740219fE,base,0.007913,-6.66,4722169.0,335130.67,11782.27,224,74,0.75,,https://dexscreener.com/base/0xe2b3aa806e56603a244bfc111c9474f7dedd03db,2026-06-23T10:46:36.901869,dexscreener,19.49621821
MYRO,MYRO,Bm3dgkZrjH7eaz1GBH1R2ZHkp7nZUoPNJhjekoxepump,solana,0.002516,847.0,2516757.0,110622.97,76203.45,220,120,0.65,20.5,https://dexscreener.com/solana/cv2m2hk9wfugve2dysnlswquym9r2trwxeutuuwzh8dr,2026-06-23T10:46:34.612485,dexscreener,10.39397215
███,███,D93qx6RYPhx5dYupo83tZZRj1uEUG9XnNoWG9qmjpump,solana,0.0002117,655.0,211741.0,34206.34,746861.52,8100,7289,0.53,1.5,https://dexscreener.com/solana/8gt1wujuud1kanh8c9dsuqzyvjzgowzkrt1syxrvvgtz,2026-06-23T10:46:34.612536,dexscreener,7.112987260000001
