symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
AIF,Ansemwifhat,CPtvQTf8bXKPx4wQTpVkB9StqcXnVdpz8WN2UZaopump,solana,0.0001647,147.0,164770.0,31401.05,280860.92,6055,1190,0.84,0.5,https://dexscreener.com/solana/bk3havcsxbwccj531yzesxa55atgh1siubo8e7o9bvqd,2026-07-06T13:23:04.643822,dexscreener,22.717903109999998
VAALAND,Viking Haaland,6uYAQyXYMQ5sTNPRZmYSVMGTAzgkTrK5mGtHpPYCpump,solana,0.0008604,1359.0,860476.0,74178.82,1416254.17,18551,8921,0.68,4.2,https://dexscreener.com/solana/31a3uvuvzhjj8sopj8g3qzuha6ebk8andgmokpx3kfdf,2026-07-06T13:23:04.643966,dexscreener,22.44271566
AMERICA,The American Bull,GPecvTobqQMxcaLYy7nPVqHfgR3LTCMaM4LWna6apump,solana,0.0002601,571.0,260129.0,39069.66,142552.57,1025,772,0.57,1.5,https://dexscreener.com/solana/64zubtcobqucayedoccdxthprsnehzdpn2b54fmxkbfb,2026-07-06T13:23:04.643855,dexscreener,4.851465459999996
$SAYBEAR,Saylor Bear,F1SMYYDoAMmhB3SSYgbwrrjxsdXJEkaTBzhMGwGmooi,solana,7.141e-05,1027.0,71411.0,43251.34,131964.07,1518,1289,0.54,0.9,https://dexscreener.com/solana/ejb7unzck7y1hzawaqqvjqnagbzvnxeb1uqkexwlzbph,2026-07-06T13:23:04.643948,dexscreener,2.954482660000001
