symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
NUDAENG,Nudaeng,DT5BdfBKRkyAE6NU5Towb578LNADT841P7yUzZbUpump,solana,0.0002352,371.0,235234.0,40664.12,2423826.05,65027,49407,0.57,20.6,https://dexscreener.com/solana/bgk8umqrdg3qxql32jjbc89u41n3gschhzamwdpjt4b9,2026-06-19T10:51:08.408764,dexscreener,23.125570199999995
ANSEM,The Black Bull,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,solana,0.0002505,189.0,250548.0,38934.22,399353.16,9805,4243,0.7,64.8,https://dexscreener.com/solana/fnzky6x7entq1er3d225dqyt7ybfka4pskbmqhb8l3cc,2026-06-19T10:51:08.409269,dexscreener,15.028838579999995
MAMO,Mamo,0x7300B37DfdfAb110d83290A29DfB31B1740219fE,base,0.00829,-0.82,4915426.0,345182.49,11309.13,136,102,0.57,,https://dexscreener.com/base/0xe2b3aa806e56603a244bfc111c9474f7dedd03db,2026-06-19T10:51:10.839752,dexscreener,8.393210389999997
RUMBLE,Realm Rumble,qYc4gQ9xVq48XmeBBUh7GMfTYycoLS1m3VTT9tapump,solana,0.0002171,104.0,217136.0,34258.74,226556.25,2001,1682,0.54,50.7,https://dexscreener.com/solana/gfmqbyfzpaaqhrwaexmgw6vpvgpcbxq34wxcfv8btwmk,2026-06-19T10:51:08.408731,dexscreener,3.5763311000000004
