symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
MYLOO,MYLOO,3HHTWR8mSdWGmNfH1gSpsFWvysWJ2DUwpmTsnTz1pump,solana,0.0004543,1384.0,454322.0,51772.87,1167829.3,26449,8626,0.75,4.7,https://dexscreener.com/solana/bpucma34xny2z5321jwfldkpn4bicbbqrdr8ynsveqwx,2026-06-22T06:16:55.742713,dexscreener,24.49422745
RDR2,RDR2,DtgneYfuPv3Jt8PzfMXYq9opRNU2UVtgrLYFdC4Vpump,solana,0.0007521,1994.0,752175.0,64416.79,502479.98,5659,2574,0.69,4.3,https://dexscreener.com/solana/4oghdthswcuddvhyutaoegujldswocofqqykzqpht1xs,2026-06-22T06:16:55.742270,dexscreener,15.611091689999995
$WCT, WORLD CUP TROLL,4FnEvpYyVBbnNjeZvqaYUFZVHsLZpVZRGtbh13aRpump,solana,0.0003304,985.0,330411.0,42639.86,625924.21,10201,6711,0.6,2.4,https://dexscreener.com/solana/drp2aak2qbmto3wg1dktggbnadpcsmrko86mbxhzgpjn,2026-06-22T06:16:55.742476,dexscreener,10.646991579999998
MRASTEROID,ASTEROID NEIRO,FtgKs1pyNhgGZmhywZUmgwtKR9SQnQgD9L1cnqKFpump,solana,0.0006891,2005.0,689110.0,61533.74,613613.19,34163,23261,0.59,2.9,https://dexscreener.com/solana/frgruvug2kjmnhjfjcdyqnuzg2bquhkx96r5pboeecpd,2026-06-22T06:16:55.742518,dexscreener,10.206911619999998
CATWIF,catwifhat,5pYB12kEhfhSFXJjZ7JtyqDpt6uUqhsF6iu6Ee9spump,solana,0.000114,92.84,114036.0,34135.68,122606.9,1648,1281,0.56,2.3,https://dexscreener.com/solana/4dytblybdqyqjavjlrht4xtqkvm7qayzuttjfsicromp,2026-06-22T06:16:55.742367,dexscreener,3.992890400000002
