symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
泡沫,泡沫,0x98b7F8D322942d7142e7cc60D158FbC4414E4444,bsc,8.984e-05,68.95,89846.0,30474.9,1862225.46,12759,10412,0.55,6.1,https://dexscreener.com/bsc/0x615e7d0c5875438db56a99632b32b64318349256,2026-06-04T09:46:01.961895,dexscreener,17.22992718
MAMO,Mamo,0x7300B37DfdfAb110d83290A29DfB31B1740219fE,base,0.008844,-7.41,5244311.0,357801.66,19401.42,220,124,0.64,,https://dexscreener.com/base/0xe2b3aa806e56603a244bfc111c9474f7dedd03db,2026-06-04T09:46:26.045097,dexscreener,13.02223626
PEG,peg,3GDrBbgzMfokcYChDqBZijXS3ppwhEEmosFQbgbPpump,solana,9.764e-05,66.0,97645.0,31945.32,350244.2,4583,3020,0.6,1.9,https://dexscreener.com/solana/hnj5ny2mxxwaodk7w7mhgtrkzodkktfrvckfdps3swd8,2026-06-04T09:46:23.865175,dexscreener,8.281133399999998
PUSD,Pegged United States Dollar,76Ens6Ye6YVg5v6Ph8fnQc4ChKCXggGZfESHZ5sipump,solana,9.139e-05,54.61,91389.0,30712.12,226703.33,2030,1284,0.61,2.8,https://dexscreener.com/solana/13sfgercx9k4emyifx3gztsfndvrratzj2jxpty5dayz,2026-06-04T09:46:23.865506,dexscreener,7.899308439999999
