symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
PP420,penispoop420,Ac8EScJ4ufRo8PiFkun7diUrcCCktg4JvArb3mPmpump,solana,0.0004187,1087.0,418762.0,56853.25,3248615.17,21969,18355,0.54,5.3,https://dexscreener.com/solana/dyhvcioygvzrvvt7wsowmyi3uhrxnyzwzra6c55ptjb7,2026-05-24T20:05:38.845472,dexscreener,3308.300495
WEALTH,cannot be rich without wealth,8C2wF9dbok8Zt3hWux6VL37ZJducsdi7TK7R6rRNpump,solana,0.0007039,403.0,703922.0,67939.37,1097464.61,12512,2036,0.86,3.7,https://dexscreener.com/solana/fjy7o9ys5tkmq6aftmkypn1rotetpyfc2ygo8y9h8yat,2026-05-24T20:05:38.845184,dexscreener,1190.258547
BTCBANK,Bitcoin Bank,9s96G11xGsHczudfJqKQzQxzvubQgJXSySJ1wRgxpump,solana,0.0002515,-48.53,251513.0,45743.69,897511.25,39026,16486,0.7,48.1,https://dexscreener.com/solana/4a2acvjbjysaueewedivqhcmnfty2ef49eayyxswdmt2,2026-05-24T20:05:38.845093,dexscreener,972.0856190000001
ATM,All The Money,w9LTBBFqjcADdw52oLKjUUd7qimbBaeY68CFaebpump,solana,0.0001182,-39.98,117662.0,30281.12,582251.06,5594,3551,0.61,43.9,https://dexscreener.com/solana/d5vef38vardqngokq5k6kh1xzlncungmz6b9kpboum7g,2026-05-24T20:05:38.845246,dexscreener,646.279172
CAP,CAPCAT,8Zrbh9DJFgY5H6jqZb3CWeMF6wLGMHiDKvkK4qSTpump,solana,0.0001956,44.36,195616.0,36439.87,451138.38,17164,8539,0.67,43.1,https://dexscreener.com/solana/25h5ma8w65x6m117ryqv2nby4fjcgqowra2f4h7pbmq1,2026-05-24T20:05:38.845604,dexscreener,521.782367
