symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
GAYCUP,Gay Cup Coin,EztJNQ9xmi5Y4MUPwT7FxTQMEtSmNc5P2ixDqrf9pump,solana,0.0002396,604.0,239627.0,41827.61,1822050.52,10008,6884,0.59,1.5,https://dexscreener.com/solana/8cwfdpgesin9qdgkdeoxuth4yexxknrnqpgttqmdapbd,2026-05-31T22:15:16.271810,dexscreener,19.578818309999996
SPCX,SpaceExplorationTechnologiesCorp,BhTPX3YwwVff8F16ujjwvD9pqjCM8pa648Bchognpump,solana,0.0002763,334.0,270368.0,53944.64,278824.19,2364,1298,0.65,29.7,https://dexscreener.com/solana/6qe7q37zenf74f1nywcx1mtqibqjhragpe5nvhkabdgz,2026-05-31T22:15:16.271867,dexscreener,11.164763120000002
HOLD,HoldFlow,Es4RvTdJNyJZ3iCDvQ2vnd1QhB49dWB8Pug4kbrNBAGS,solana,0.001129,2637.0,1129002.0,74012.95,110207.55,465,292,0.61,3.0,https://dexscreener.com/solana/bhpmjxqn9gdjckaqnnihum5owalikx6ppauairtzue8m,2026-05-31T22:15:16.271997,dexscreener,7.616854649999998
OBX,Obscra,ttgtaonT9ncgPqgsgJxmLe4Ls1VuVaqJyDyvJJfpump,solana,0.0001525,71.91,152509.0,30408.45,100970.1,1143,872,0.57,39.9,https://dexscreener.com/solana/9kabuy3tmykqnyasx2emuvrdk9cecq96ix7uh8busukh,2026-05-31T22:14:46.482256,dexscreener,4.388887549999996
