symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
JIMHOOD,Jimothy The Robin,6wCpTaxLmCeBdsazRebYNHtFNC1mPJDWKscHHVwkpump,solana,0.0005062,1452.0,506205.0,58117.23,2850913.89,12000,8281,0.59,3.3,https://dexscreener.com/solana/9nbvemyvgqhdkatkgaqrw3vvusprqjzo24oalya7nchi,2026-07-20T20:21:59.566814,dexscreener,28.05406957
MAMO,Mamo,0x7300B37DfdfAb110d83290A29DfB31B1740219fE,base,0.009782,2.53,5846768.0,381205.05,18980.0,344,85,0.8,,https://dexscreener.com/base/0xe2b3aa806e56603a244bfc111c9474f7dedd03db,2026-07-20T20:22:02.075693,dexscreener,23.369915750000004
POB,Proof Of Bagwork,BAGWtYQm6kei9M9hoVcY3pqXxeiGZ1poGoq51io5mJS6,solana,0.0006055,5339.0,605452.0,68357.91,1906682.98,17365,14318,0.55,48.5,https://dexscreener.com/solana/5wvk1d9a1sbyx84nyxr9wuevbc4ff84cbd8rhkdqeukt,2026-07-20T20:21:59.566761,dexscreener,18.153832490000003
CHONKETHA,Chonketha the Wet Beaver,HcfnJxLov6tY8i1dq9uYRRZKCvxADPpovcfkyXzdpump,solana,0.000793,283.0,792906.0,68745.67,323340.43,3206,2609,0.55,51.6,https://dexscreener.com/solana/5dvo7afww1xvlczzqofokjaepsezbb3uukyoenfi6le5,2026-07-20T20:21:59.566852,dexscreener,5.492908490000001
CBADA,Coinbase Wrapped ADA,0xcbADA732173e39521CDBE8bf59a6Dc85A9fc7b8c,base,0.1698,2.58,497750.0,111140.67,336173.45,280,244,0.53,,https://dexscreener.com/base/0x8782d97c8b25b4d17dbfbaa03f25dc18e51e909d,2026-07-20T20:22:02.075741,dexscreener,4.9814976500000006
