symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
STARBASE,Starbase,C34qoK8V27yPWCEQuTf3mPXD2cXCyExEm9uEKbpqpump,solana,0.0004702,530.0,470243.0,49491.91,763021.8,9642,2829,0.77,3.0,https://dexscreener.com/solana/9sjarckcvsstwei27pdxggh8jpyseafrruzgygs4wzdh,2026-06-24T12:38:44.510246,dexscreener,22.47155305
SWIF,Sheep Wif Hat,21Xp1ukfzY6dWFYFRJmp59iCgKDJ61CHMJ8dmG9npump,solana,0.0001047,77.29,104778.0,33269.16,404588.34,6043,3483,0.63,3.9,https://dexscreener.com/solana/5shvebmbvbg2sghsekomey4qk2tszumx9wa2tzhfx5zf,2026-06-24T12:38:44.510554,dexscreener,10.61074412
QUEST,PokéQuest,Et3nNiuGyhQxwVW3W8pLTvsMXcSKiyogHrNjdr4wpoke,solana,0.0001389,-68.34,137120.0,32048.43,1202277.9,9180,8369,0.52,45.6,https://dexscreener.com/solana/8qifghnxegze5t6qgqdmas9dhcbwgeqmwzt2jrtx7gia,2026-06-24T12:38:44.510318,dexscreener,10.09894965
WBET,WORLD BET,31989YsfUahV66TGiMvdSyTj1AQNvcdT327Uiu9mpump,solana,0.0003277,228.0,327741.0,40664.51,122918.76,1203,929,0.56,46.7,https://dexscreener.com/solana/apzdirx3ee11c5ppapny5ecz29cdhgua76yoc1s7bs3e,2026-06-24T12:38:44.510532,dexscreener,4.0933177300000025
