symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
MAMO,Mamo,0x7300B37DfdfAb110d83290A29DfB31B1740219fE,base,0.009747,1.27,5825657.0,381144.81,25319.52,343,83,0.81,,https://dexscreener.com/base/0xe2b3aa806e56603a244bfc111c9474f7dedd03db,2026-07-20T18:22:03.922097,dexscreener,24.044728310000004
HOLYSHIT,holy shit,97AT7VzHTUYmGgYsKDx76fzNgibCy5keRoftBosKpump,solana,0.0002272,635.0,227203.0,40293.35,1953609.51,18324,14771,0.55,11.6,https://dexscreener.com/solana/cxr9rhhvczh9oqwqhdfhpwxyqcysixvptzkuuo1rtbs1,2026-07-20T18:22:01.463142,dexscreener,18.108276330000002
JIMHOOD,Jimothy The Robin,6wCpTaxLmCeBdsazRebYNHtFNC1mPJDWKscHHVwkpump,solana,0.0006639,1936.0,663913.0,61916.49,496291.05,2641,1690,0.61,1.3,https://dexscreener.com/solana/9nbvemyvgqhdkatkgaqrw3vvusprqjzo24oalya7nchi,2026-07-20T18:22:01.463039,dexscreener,10.524075749999998
