symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
ALYCIA,The Black Heifer,DYpHuMiNHrfAaWKj5Y3iQL8ydZ9oJy2ANCH4c7DApump,solana,0.0008924,130.0,892379.0,82889.93,1460445.19,10868,9301,0.54,38.7,https://dexscreener.com/solana/7gyh664yhbs2tdwmxjdwrf6trc2mp2scukhauo7au4ac,2026-07-05T12:34:10.853091,dexscreener,14.176910470000001
FROG,spinning frog,5XFYxNg16y2KmEZLARWCCktuiA5QGD8ihJXu5xHapump,solana,0.0001616,395.0,161631.0,33259.69,1098692.17,11574,8517,0.58,6.9,https://dexscreener.com/solana/dbtu5qkmrgzeodruyf1vtoprr9tgbehivkeq5djvp9pl,2026-07-05T12:34:10.853227,dexscreener,13.038432709999997
$KOKI,RABID KOKI,xcvbwN4BDUQCaw8VpkV3ayRsCGG2eyXSHu8f91Vpump,solana,6.556e-05,969.0,65568.0,40454.35,116938.86,1471,1195,0.55,1.1,https://dexscreener.com/solana/6k2dfozel4vt6jyzasrjmcsyycgybh9awbayage7tdlc,2026-07-05T12:34:10.853136,dexscreener,3.417326130000002
