symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
FCM,Football Capital Markets,Hkpi2SkNWm5LogyY1Bz4zYTq5REVvco2aYWd1tYppump,solana,0.004234,-25.64,4234552.0,173509.28,1180336.6,6082,5326,0.53,41.3,https://dexscreener.com/solana/rxfkdunvinpubdzdyn68rtm3bh2t9s5jytpai8e4zbi,2026-05-28T07:24:10.775380,dexscreener,1250.6875280000002
DOGE,DOGE,4Syf8qQ54TV88dc1hT2iohSTx64cZv5E8UPMuDBBpump,solana,0.0001702,481.0,170228.0,32766.25,745536.3,7212,4967,0.59,5.8,https://dexscreener.com/solana/2jmfmqo443luhljqza13sku1bfwycuazuvtvhcq9x1zw,2026-05-28T07:24:10.774888,dexscreener,807.8129250000001
KNICKS,New York Knicks,A3F7JL4eEG9YvXkqfqvQimncGmGvArZgjVdHNqUrpump,solana,0.000154,348.0,150118.0,31153.1,691753.95,5872,4648,0.56,13.2,https://dexscreener.com/solana/cmxvcvdglyxtjdfacwk4l4ktcnwosr4nwv6l1eqycsbz,2026-05-28T07:23:49.545734,dexscreener,750.8692599999999
XSTOCKS,XStocks,9gB6WpXjPEsLJywUfg7qzYyQpJgtVgNMVNVnx2eCpump,solana,0.0001843,442.0,179064.0,33512.09,402037.58,5317,3693,0.59,8.4,https://dexscreener.com/solana/9qi5rhogdqqnvkzytginaq7uve4waugmkyxafbcjogbg,2026-05-28T07:24:10.775177,dexscreener,464.388789
