symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
MAMO,Mamo,0x7300B37DfdfAb110d83290A29DfB31B1740219fE,base,0.009797,-1.73,5868404.0,378761.99,18191.98,323,68,0.83,,https://dexscreener.com/base/0xe2b3aa806e56603a244bfc111c9474f7dedd03db,2026-07-23T15:17:19.548463,dexscreener,25.20196569
UP,Superform,0x5b2193fDc451C1f847bE09CA9d13A4Bf60f8c86B,base,0.06219,4.79,8659165.0,714097.04,80512.86,197,131,0.6,,https://dexscreener.com/base/0x37e1490f7f6f98d263f826e1244c7e7f128632f2,2026-07-23T15:17:19.548506,dexscreener,16.35555848
FOMO,fomo man,3VK1F5r5aykheirDsqJYTsYKzgYxmmvcjQEB1Y5opump,solana,0.0003244,61.54,315995.0,60934.33,1389482.1,12580,10547,0.54,34.1,https://dexscreener.com/solana/4iaqmtock4rfhqwapmtjw5c949ruzmqm5dhdpbhr48zv,2026-07-23T15:17:17.041569,dexscreener,13.279871750000002
UNCLEAR,The Unclarity Act,qXjNksWUsHjK7QUsKb7RkEnEddtS44nUriV4ny9pump,solana,0.0002133,267.0,211396.0,33477.21,657328.11,5149,3369,0.6,2.2,https://dexscreener.com/solana/4b1zh3bgd9skgy7ipk98vw4eyldaaxgbf3f9wb92czhq,2026-07-23T15:17:17.041477,dexscreener,10.760783029999999
