symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
YASMINE,Yasmine,9UdVwUYHbVAVD6p4oFfRqZBVD4gNAp62PErkqC3tpump,solana,0.0004143,466.0,414356.0,47897.87,812707.63,10601,3819,0.74,2.9,https://dexscreener.com/solana/hvh5akrdoamxsgab2jjks168dytsmep4mtyh56msfdu7,2026-06-17T16:29:13.769013,dexscreener,20.970129089999997
WPUP,World Pup,FTNt9r1heC1q2rDZ2pY2j9cTQz1ZZCdPuqcbsf4Tpump,solana,0.0002079,496.0,207980.0,33361.8,324614.97,4545,1130,0.8,4.4,https://dexscreener.com/solana/gg1wxzu8cjwvb6bcfewhl7z7z6bhzsr5bzbpzsnqpqd4,2026-06-17T16:29:13.769474,dexscreener,20.59734676
TRUMPBOSS,Trump The Boss,GaBj5PfD2CGsohZN3q991rpHMiHsby1EZdZNUqNEpump,solana,0.0002837,526.0,283728.0,39154.96,375591.99,5440,1774,0.75,2.0,https://dexscreener.com/solana/2jmpnaqr9ybvdnurzbaxxcbmhdtug7wzazcskh1vhltj,2026-06-17T16:29:13.768953,dexscreener,17.96706032
PLOT,Plotlands,B9qMVs38qYKWCo6K57dHE9iQo7MKQCzz4E4LqAZ5pump,solana,0.0002517,312.0,251750.0,38290.67,844978.39,25461,12271,0.67,4.9,https://dexscreener.com/solana/g6ehgbkv2sguhzvzwvdx7k37ajxixxb6m1coyuovcuwk,2026-06-17T16:29:13.770162,dexscreener,16.70918717
MAMO,Mamo,0x7300B37DfdfAb110d83290A29DfB31B1740219fE,base,0.008432,-3.08,4999799.0,353275.89,12319.55,187,91,0.67,,https://dexscreener.com/base/0xe2b3aa806e56603a244bfc111c9474f7dedd03db,2026-06-17T16:29:16.808147,dexscreener,14.772694750000001
JAMESON,Justice For Jameson The Doodle,E8UXwqhNiiMwVRRV4F81rUBUYXNUd4bA78ZxpQxZpump,solana,0.0002108,101.0,210812.0,37216.5,657245.1,4446,3497,0.56,51.9,https://dexscreener.com/solana/hfsywti5xphqknuw4xysgiypqlrtb2nbxgby4go1x7ck,2026-06-17T16:29:13.769343,dexscreener,8.316208300000003
BREAD,Bread Tycoon,6h9LYVfxer8jqPx5jgza3qof8c5iNhUByzA5McYXpump,solana,0.0001895,516.0,188981.0,32627.17,555565.82,4207,3867,0.52,22.3,https://dexscreener.com/solana/gx4jnvgcjvz2sb6dzwcq5z2jfylxp9nz3qhr8yrebtku,2026-06-17T16:29:13.769258,dexscreener,4.93393411
