symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
MAMO,Mamo,0x7300B37DfdfAb110d83290A29DfB31B1740219fE,base,0.00938,4.31,5606488.0,370034.77,25358.14,265,151,0.64,,https://dexscreener.com/base/0xe2b3aa806e56603a244bfc111c9474f7dedd03db,2026-07-11T08:40:44.731380,dexscreener,13.253386670000001
LIZARD,LIZARD,7NTs9FPw7tP2Bfjcn8eAJZUr4ApG8n9ZbXkT7Adwpump,solana,0.0001614,396.0,161410.0,30888.54,484572.64,8435,4637,0.65,2.3,https://dexscreener.com/solana/5sgh3r8p76vchzzy1pxrwcelbehzxbrx1dbnzvlvdfsh,2026-07-11T08:40:42.466255,dexscreener,12.464909220000001
MEMESAI,MemesAI,4i7AHzGkMRfuq7dsDtDYRJhNPWJox4Lgh5kN2Awhpump,solana,0.0004856,769.0,485618.0,52963.89,464410.81,4456,2865,0.61,4.7,https://dexscreener.com/solana/bqqdbzekgmagyxob9wchxs9tvrta3cugsudbums45qmn,2026-07-11T08:40:42.466431,dexscreener,10.134744829999997
IQ,The XRP Bull,8y8K7tR7G2WgYydqCyVfsNpHQ2pJ4B3e8ANXCtf5pump,solana,0.0001501,65.24,150128.0,30407.02,536179.87,5759,5045,0.53,28.1,https://dexscreener.com/solana/7myqsjvbiklwpgbnt8bhbda9da4hn34lahitorzjf2rx,2026-07-11T08:40:42.466293,dexscreener,5.370544260000001
