symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
DRAGONWORM,Dragon Worm,xLyhQfSW8UKjsJaisszVS5SRjVTmy9WiEVsq6Afpump,solana,0.0007674,2610.0,767462.0,61929.71,707262.96,9583,7633,0.56,2.8,https://dexscreener.com/solana/cxkrtqnujljqmg4cyrrtg2f9rvdgrkt8xrz3d1ocnpk7,2026-06-11T07:45:38.528403,dexscreener,9.087049330000003
GAEJUKI,Gaejuki,43RuMKo4KTNekqjGSBM4NTsnL2dA8kf2MopF12eEpump,solana,0.0002098,632.0,209803.0,31900.85,327814.79,13826,8805,0.61,1.7,https://dexscreener.com/solana/awj56ivkdhke3n3tvpxzitywjhpjyuhdu9p3fjwpwqe7,2026-06-11T07:45:38.528247,dexscreener,8.726031069999998
CBMEGA,Coinbase Wrapped MEGA,0xcb111E6A2a3bde90856D299d61341ac302167D23,base,0.04499,1.46,1514202.0,115923.95,466889.28,1319,1171,0.53,,https://dexscreener.com/base/0x0150e3d89e161518c044ad191c4bdf6b40df6e83,2026-06-11T07:45:40.835084,dexscreener,6.0989734900000006
