symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
WIFSTICK,Dog Wif Stick,ArbfsZ5ACDZx6nUL84AtRHPqRnC9aaHTqTrAbbD4pump,solana,0.0002114,196.0,211411.0,33108.72,672092.0,9310,3067,0.75,3.2,https://dexscreener.com/solana/dcmij8hbfywnnupuza9pc3ynjviyvnmt3bcfudkjepxa,2026-06-25T22:34:15.259714,dexscreener,20.2483668
𝕏MONEY,𝕏 Money,DhEr1gA5CWhUoC71g2pW62Ksf7VzdqMvcPArrhs8pump,solana,0.0002175,268.0,217573.0,49918.7,1573663.01,16281,11053,0.6,4.4,https://dexscreener.com/solana/422djyb5zhpywxyyyyb6k1xseejk6sxr7gurbzrsutz4,2026-06-25T22:34:15.259740,dexscreener,18.33808458
HODL,Hold On for Dear Life,FqyUkVeDRXhxtGoiH5yeEDk3oQragkvEmnrL3yKQpump,solana,0.0002215,314.0,221549.0,35141.18,1366750.81,20743,14665,0.59,2.6,https://dexscreener.com/solana/f2svjebj6vojeushh1m9vmnjxxtuqu7k53s9octg5phn,2026-06-25T22:34:15.260026,dexscreener,15.836124179999999
𝕏GIFT,𝕏GIFT,FGnzUzwqULDuZk3WX4CGdKeeZiSwp9kHQKL5HGeFpump,solana,0.0002221,307.0,222196.0,33384.87,407696.94,3295,2505,0.57,1.4,https://dexscreener.com/solana/9hlxx5hqjgjjsve1xsdjjjsnzmnhvafximqg7cbtnpp6,2026-06-25T22:34:15.259678,dexscreener,6.887348569999996
