symbol,name,token_address,chain,price_usd,price_change_24h,market_cap_usd,liquidity_usd,volume_24h_usd,buys_24h,sells_24h,buy_ratio,age_hours,pair_url,last_updated,source,dex_score
TOLYWIFHAT,baby toly wif hat,E2ueKQ3EDTTmCkUA17j3KeTb2u6VT91xiyECdKRzpump,solana,0.0009066,50.78,906693.0,82922.11,4545797.3,29967,20729,0.59,29.1,https://dexscreener.com/solana/gdc11vqjfq6isptw1avoqowxnd7eq3jetjwh1ltt4qt8,2026-07-07T08:45:26.181903,dexscreener,41.98521004999999
ANSEMIUS,Ansemius Bulleus,DkmmVCUaBAcYjecqMdX7NdNQFCfb6uh1yQq9HEP8pump,solana,0.001967,397.0,1967288.0,117773.87,2702797.91,17672,13921,0.56,24.8,https://dexscreener.com/solana/4lxumvpxvhdeac3c2lvjj9kgmu94pyv4inflhcqc6lit,2026-07-07T08:45:26.182059,dexscreener,25.88899133
TESTPACK,TESTPACK,5bZEJTjh7gy16P4jUVkD1ALPdvVNMUG73VW4AyLHpump,solana,0.0001499,315.0,149943.0,31380.42,1481508.5,20927,7620,0.73,8.3,https://dexscreener.com/solana/2r5atnmyslzypmdbrzv8oe2asj4gdp4bpbfrasrgral5,2026-07-07T08:45:26.182129,dexscreener,25.4477743
DONALT,The Duck Bull,4eKYoR1hBHnRaYyg2d57H36uUatRNyZr1NRP9ScNpump,solana,0.0009162,389.0,916208.0,83067.43,1752301.95,13380,8380,0.61,32.4,https://dexscreener.com/solana/8yvumppwyjzqhsr2b5muoulugj8grusqm7yddswthgju,2026-07-07T08:45:26.182088,dexscreener,20.88942705
SUNUSI,The African Bull,2vvw3cSwibzGD6SgW9QzRaBdmjkYrvs218DUy6VWpump,solana,0.001305,3744.0,1305065.0,90013.33,1078091.87,23293,14928,0.61,19.7,https://dexscreener.com/solana/5smcocy9fvw3g1apyzyhxd2ozyasewkozjmtgsphjsjg,2026-07-07T08:45:26.182212,dexscreener,15.599934910000002
BCAT,banana cat ,5whR534GcEEmrVPedDPZgWLXKQX3shhHMcdZ1FXCAMzi,solana,0.0002655,361.0,264476.0,43245.97,513801.67,5854,4215,0.58,4.1,https://dexscreener.com/solana/hpggm1iqiy2waktzv7d4rcau4vrxvc9sfxmlncq7q6ls,2026-07-07T08:45:26.182025,dexscreener,8.509102909999996
GTAVI,Grand Theft Auto VI,0x2e5ef97C96D6a44CcB8Db9C30f2F5DCec04BB6f9,ethereum,5.791e-11,11.16,5791197.0,203387.25,113124.0,1444,1230,0.54,43.9,https://dexscreener.com/ethereum/0x75d5fe72db6e0fec7703e8806b61f6db08d2037e,2026-07-07T08:45:00.829055,dexscreener,5.205800750000001
ZION,The Red Dragon,CUB9xv5qxBbFbZ2Q7XGieijQrgAZdDRyk7ifpcawpump,solana,0.0006303,325.0,630340.0,60717.44,254578.64,2205,1968,0.53,30.7,https://dexscreener.com/solana/lbaabc22fu8rcppeqwgmgpsmds8icsrtkru3xch2uc3,2026-07-07T08:45:26.181872,dexscreener,3.572390720000001
